dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
kt2_s02,2comp_equal,2,2,5,bayesm_gibbs,2,Alt3,0.0200247591327719,0.7736136093212822,0.5670912509961644,0.97
kt2_s02,2comp_equal,2,2,5,bayesm_gibbs,2,Price,0.0181339926643608,0.4178249872214488,0.3142315779770765,0.9433333333333334
kt2_s03,2comp_equal,2,3,5,bayesm_gibbs,2,Alt1,-0.1219381456436497,0.6418900262056842,0.4983256097719915,0.9466666666666668
kt2_s03,2comp_equal,2,3,5,bayesm_gibbs,2,Alt2,-0.0321195450996328,0.8179332584333242,0.6479029159849099,0.9266666666666666
kt2_s03,2comp_equal,2,3,5,bayesm_gibbs,2,Alt3,-0.1196749204190228,0.8676129658298494,0.6639379756846946,0.9366666666666666
kt2_s03,2comp_equal,2,3,5,bayesm_gibbs,2,Price,-0.0998342034777733,0.6663631447249715,0.4701113140357112,0.94
kt2_s04,2comp_equal,2,4,5,bayesm_gibbs,2,Alt1,-0.1547460182721036,1.0106952988388216,0.7041642606298878,0.96
kt2_s04,2comp_equal,2,4,5,bayesm_gibbs,2,Alt2,0.0140758311691003,0.6438041611259804,0.4771518841915026,0.9666666666666668
kt2_s04,2comp_equal,2,4,5,bayesm_gibbs,2,Alt3,-0.0945733539623193,1.4513926740311187,0.6789597586787274,0.9633333333333334
kt2_s04,2comp_equal,2,4,5,bayesm_gibbs,2,Price,-0.1077858266600131,1.0088064974053317,0.4559885737858437,0.94
kt2_s05,2comp_equal,2,5,5,bayesm_gibbs,2,Alt1,-0.2335780201320726,0.8285877303201263,0.6634367011417409,0.97
kt2_s05,2comp_equal,2,5,5,bayesm_gibbs,2,Alt2,0.0753875624205104,0.727331494081225,0.5468297760442764,0.93
kt2_s05,2comp_equal,2,5,5,bayesm_gibbs,2,Alt3,-0.2661311991897506,0.951438957921756,0.7507322129446319,0.9733333333333334
kt2_s05,2comp_equal,2,5,5,bayesm_gibbs,2,Price,0.0682157298085869,1.057986718656735,0.719853244177562,0.9533333333333334
kt2_s06,2comp_equal,2,6,5,bayesm_gibbs,2,Alt1,-0.0285931475058519,0.8529562184331609,0.6859212993573759,0.9266666666666666
kt2_s06,2comp_equal,2,6,5,bayesm_gibbs,2,Alt2,-0.0861736885895089,0.7242199925694377,0.5647991555294474,0.9666666666666668
kt2_s06,2comp_equal,2,6,5,bayesm_gibbs,2,Alt3,-0.2113185439475406,1.0245899842138677,0.8177074377550055,0.97
kt2_s06,2comp_equal,2,6,5,bayesm_gibbs,2,Price,0.0610720349649262,0.7680473835458652,0.6043713588398547,0.9666666666666668
kt2_s07,2comp_equal,2,7,5,bayesm_gibbs,2,Alt1,0.1384205804871916,0.8567935423091265,0.6580428749717023,0.9333333333333332
kt2_s07,2comp_equal,2,7,5,bayesm_gibbs,2,Alt2,0.0565230145013736,0.7920778677455295,0.6260257121935082,0.9433333333333334
kt2_s07,2comp_equal,2,7,5,bayesm_gibbs,2,Alt3,-0.0022001803678763,1.0883147840275775,0.8013069988296962,0.9433333333333334
kt2_s07,2comp_equal,2,7,5,bayesm_gibbs,2,Price,0.0687640942357355,0.660550600215136,0.4985207444531804,0.91
kt2_s08,2comp_equal,2,8,5,bayesm_gibbs,2,Alt1,0.1095087857964429,1.2450013898083765,0.6704061382939517,0.9833333333333332
kt2_s08,2comp_equal,2,8,5,bayesm_gibbs,2,Alt2,-0.0979963906588604,1.0959575031290512,0.7656625044481751,0.9566666666666668
kt2_s08,2comp_equal,2,8,5,bayesm_gibbs,2,Alt3,0.1099831247724207,0.8280835772934598,0.5973203742299948,0.98
kt2_s08,2comp_equal,2,8,5,bayesm_gibbs,2,Price,-0.003015199594507,0.9982215645305884,0.469529730952819,0.93
kt2_s09,2comp_equal,2,9,5,bayesm_gibbs,2,Alt1,-0.3424582512694173,1.3220815813796836,0.8817982219841414,0.96
kt2_s09,2comp_equal,2,9,5,bayesm_gibbs,2,Alt2,0.2480958128405725,0.9923588511023518,0.7628112466668057,0.9566666666666668
kt2_s09,2comp_equal,2,9,5,bayesm_gibbs,2,Alt3,-0.0400482657860393,0.8915570456594458,0.680485871285004,0.9833333333333332
kt2_s09,2comp_equal,2,9,5,bayesm_gibbs,2,Price,0.0437247282048818,0.6421502184927491,0.5020184034375075,0.9766666666666668
kt2_s100,2comp_equal,2,100,5,bayesm_gibbs,2,Alt1,-0.8582991699171016,1.9476761628361163,1.2116551838716654,0.9566666666666668
kt2_s100,2comp_equal,2,100,5,bayesm_gibbs,2,Alt2,0.065944163235645,1.0421903342998662,0.7183510050912014,0.96
kt2_s100,2comp_equal,2,100,5,bayesm_gibbs,2,Alt3,-0.3648611708047745,1.7539289653453944,1.1461099916409854,0.9266666666666666
kt2_s100,2comp_equal,2,100,5,bayesm_gibbs,2,Price,-0.0285379840865157,0.7265870083923605,0.516795373245259,0.9566666666666668
kt2_s10,2comp_equal,2,10,5,bayesm_gibbs,2,Alt1,0.1310714969484812,0.7911038386908409,0.6152583087749144,0.9566666666666668
kt2_s10,2comp_equal,2,10,5,bayesm_gibbs,2,Alt2,0.2967275877467957,1.1681252667218476,0.8305409060625913,0.9466666666666668
kt2_s10,2comp_equal,2,10,5,bayesm_gibbs,2,Alt3,-0.011150617906702,0.8623023001835803,0.6250234860701485,0.9633333333333334
kt2_s10,2comp_equal,2,10,5,bayesm_gibbs,2,Price,0.2929164634941934,0.8632142491842667,0.6154250153982638,0.9366666666666666
kt2_s11,2comp_equal,2,11,5,bayesm_gibbs,2,Alt1,-0.1391433171847738,0.8930214072673702,0.6852923483602857,0.9333333333333332
kt2_s11,2comp_equal,2,11,5,bayesm_gibbs,2,Alt2,-0.0965991902756325,1.072572583609118,0.814447628259569,0.9533333333333334
kt2_s11,2comp_equal,2,11,5,bayesm_gibbs,2,Alt3,0.1194672135836024,0.783628866614664,0.5741613843321111,0.95
kt2_s11,2comp_equal,2,11,5,bayesm_gibbs,2,Price,-0.0324622262966954,0.5385272499456688,0.4060892096637497,0.96
kt2_s12,2comp_equal,2,12,5,bayesm_gibbs,2,Alt1,-0.0172089817554126,0.8079376224683119,0.6133130455692445,0.94
kt2_s12,2comp_equal,2,12,5,bayesm_gibbs,2,Alt2,-0.0399294561379192,0.7928796149297056,0.6090801047600869,0.97
kt2_s12,2comp_equal,2,12,5,bayesm_gibbs,2,Alt3,-0.0061074212579248,0.7059771458650821,0.5407225851444603,0.97
kt2_s12,2comp_equal,2,12,5,bayesm_gibbs,2,Price,0.0100274830650888,0.7794473865886481,0.5504104421484811,0.9566666666666668
kt2_s13,2comp_equal,2,13,5,bayesm_gibbs,2,Alt1,-0.1066243253753908,0.9578132932976136,0.7200803036232535,0.9366666666666666
kt2_s13,2comp_equal,2,13,5,bayesm_gibbs,2,Alt2,0.0284799644629006,0.8115355339276735,0.6395684742437822,0.9633333333333334
kt2_s13,2comp_equal,2,13,5,bayesm_gibbs,2,Alt3,-0.3860843496728289,1.0677208000674892,0.7661818048789277,0.9233333333333332
kt2_s13,2comp_equal,2,13,5,bayesm_gibbs,2,Price,-0.189833902832599,0.6595250075801328,0.4976729717011947,0.93
kt2_s14,2comp_equal,2,14,5,bayesm_gibbs,2,Alt1,2.6480637166888314,3.873537191172885,3.065812748195196,0.6933333333333334
kt2_s14,2comp_equal,2,14,5,bayesm_gibbs,2,Alt2,2.8139630577750503,3.91038315213798,3.097023227758909,0.7133333333333334
kt2_s14,2comp_equal,2,14,5,bayesm_gibbs,2,Alt3,2.772396381649618,3.954658476865686,3.12743119859552,0.7733333333333333
kt2_s14,2comp_equal,2,14,5,bayesm_gibbs,2,Price,0.0260350847645959,0.7512473511051335,0.482625874879995,0.9333333333333332
kt2_s15,2comp_equal,2,15,5,bayesm_gibbs,2,Alt1,-0.0482369643925177,0.9927380381177596,0.7925544190541399,0.9233333333333332
kt2_s15,2comp_equal,2,15,5,bayesm_gibbs,2,Alt2,-0.0921855612002072,0.7633783037408813,0.5926145336784858,0.9433333333333334
kt2_s15,2comp_equal,2,15,5,bayesm_gibbs,2,Alt3,0.0302922949462487,1.1173457753930511,0.7506446833772691,0.8933333333333333
kt2_s15,2comp_equal,2,15,5,bayesm_gibbs,2,Price,-0.1017852692708367,2.004921326176642,0.8282524149466463,0.9366666666666666
kt2_s16,2comp_equal,2,16,5,bayesm_gibbs,2,Alt1,0.3854115053440751,1.3433523652916086,0.9220392234910144,0.9433333333333334
kt2_s16,2comp_equal,2,16,5,bayesm_gibbs,2,Alt2,0.0344684768581825,1.3182486044045143,0.9338395145011524,0.96
kt2_s16,2comp_equal,2,16,5,bayesm_gibbs,2,Alt3,-0.1072941040818842,1.1040821233266132,0.8014223903231519,0.95
kt2_s16,2comp_equal,2,16,5,bayesm_gibbs,2,Price,-0.2290472325966486,0.849125854191119,0.6031517242880098,0.9666666666666668
kt2_s17,2comp_equal,2,17,5,bayesm_gibbs,2,Alt1,-0.0325889262156857,0.8636875879723978,0.6679054911230405,0.93
kt2_s17,2comp_equal,2,17,5,bayesm_gibbs,2,Alt2,-0.0055268466112838,0.8618209665311465,0.6693175817728305,0.9233333333333332
kt2_s17,2comp_equal,2,17,5,bayesm_gibbs,2,Alt3,0.0463349167285338,0.8225433046552049,0.6585456414244736,0.9166666666666666
kt2_s17,2comp_equal,2,17,5,bayesm_gibbs,2,Price,0.0544276910968951,0.7844612671943058,0.5605240452702298,0.96
kt2_s18,2comp_equal,2,18,5,bayesm_gibbs,2,Alt1,-0.0512584324462508,0.8621837219904361,0.6484258669743299,0.9566666666666668
kt2_s18,2comp_equal,2,18,5,bayesm_gibbs,2,Alt2,0.0261952082644978,0.7216974815111996,0.5741717534031535,0.9666666666666668
kt2_s18,2comp_equal,2,18,5,bayesm_gibbs,2,Alt3,-0.0280661762523941,0.9595988886887185,0.7481647489370439,0.9466666666666668
kt2_s18,2comp_equal,2,18,5,bayesm_gibbs,2,Price,-0.0306343003610293,0.7450332766482982,0.5614378028877665,0.98
kt2_s19,2comp_equal,2,19,5,bayesm_gibbs,2,Alt1,-0.297392405580918,1.515271326402194,1.0844386023718129,0.9366666666666666
kt2_s19,2comp_equal,2,19,5,bayesm_gibbs,2,Alt2,0.0846612791870253,1.020332468225687,0.7950763806074479,0.9333333333333332
kt2_s19,2comp_equal,2,19,5,bayesm_gibbs,2,Alt3,-0.0717580390158183,1.183907053231604,0.8086884824810325,0.96
kt2_s19,2comp_equal,2,19,5,bayesm_gibbs,2,Price,0.154539423475521,1.0477216222371586,0.7065593154365706,0.9633333333333334
kt2_s20,2comp_equal,2,20,5,bayesm_gibbs,2,Alt1,-0.0420379191714437,0.7448713238662521,0.5938150337379168,0.9633333333333334
kt2_s20,2comp_equal,2,20,5,bayesm_gibbs,2,Alt2,-0.0069429369305746,0.8612718381948913,0.6900892327357157,0.9466666666666668
kt2_s20,2comp_equal,2,20,5,bayesm_gibbs,2,Alt3,-0.0033375628567909,0.9596587997174404,0.6988235941397676,0.93
kt2_s20,2comp_equal,2,20,5,bayesm_gibbs,2,Price,0.1103224711580316,0.901017244976602,0.6477656495700396,0.9533333333333334
kt2_s21,2comp_equal,2,21,5,bayesm_gibbs,2,Alt1,0.5226426833381095,1.8553375305001627,1.2604285157039168,0.96
kt2_s21,2comp_equal,2,21,5,bayesm_gibbs,2,Alt2,-0.7524335480627279,2.1166032222150006,1.544694419897354,0.96
