dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt2_s92,2comp_equal,2,92,5,bayesm,2,1,0.4706784266849068,0.0412703722579389,0.372129978034611,0.5377291241927173,0.5,True
kt2_s92,2comp_equal,2,92,5,bayesm,2,2,0.0198689452341844,0.0326610389621714,0.0001963917349658,0.1167563725864424,,
kt2_s92,2comp_equal,2,92,5,bayesm,2,3,0.0069710512351669,0.0125747225625404,0.0001257601910565,0.0295199970095829,,
kt2_s92,2comp_equal,2,92,5,bayesm,2,4,0.0056057853559842,0.0100158630996424,0.0001072634127253,0.0293282599696998,,
kt2_s93,2comp_equal,2,93,5,bayesm,2,0,0.5015406494730434,0.0365408111847877,0.4313174469643703,0.5604168509988204,0.5,True
kt2_s93,2comp_equal,2,93,5,bayesm,2,1,0.4714778164776611,0.0297958843299399,0.4134382802192785,0.5293762765487044,0.5,True
kt2_s93,2comp_equal,2,93,5,bayesm,2,2,0.0120498857454962,0.0147001501972607,0.0008419859846487,0.0366155870898352,,
kt2_s93,2comp_equal,2,93,5,bayesm,2,3,0.0093086610863986,0.0135431252294164,0.0007318328090086,0.023805726499436,,
kt2_s93,2comp_equal,2,93,5,bayesm,2,4,0.0056229872174005,0.0153629485059505,0.0001000658047524,0.0214805445856474,,
kt2_s94,2comp_equal,2,94,5,bayesm,2,0,0.518566754213427,0.0372480018888665,0.4379643695267061,0.5797243958304384,0.5,True
kt2_s94,2comp_equal,2,94,5,bayesm,2,1,0.4520086243216356,0.0290409034281719,0.3949874477496116,0.5089936049020367,0.5,True
kt2_s94,2comp_equal,2,94,5,bayesm,2,2,0.0118624842016438,0.0175098991624399,0.0003678762832247,0.0500744978091812,,
kt2_s94,2comp_equal,2,94,5,bayesm,2,3,0.0089733429834854,0.0146581997214324,0.0001442545056469,0.0485160407113274,,
kt2_s94,2comp_equal,2,94,5,bayesm,2,4,0.0085887942798081,0.0087519370580627,0.0002906478813665,0.0310898536637273,,
kt2_s95,2comp_equal,2,95,5,bayesm,2,0,0.5267048482409977,0.0301442964939782,0.4686942900136546,0.5836946579050345,0.5,True
kt2_s95,2comp_equal,2,95,5,bayesm,2,1,0.4532502878382245,0.0357684935776582,0.3867840265765961,0.5116932040528379,0.5,True
kt2_s95,2comp_equal,2,95,5,bayesm,2,2,0.0089360108708026,0.022499501825585,0.0001297687001529,0.0392848411100367,,
kt2_s95,2comp_equal,2,95,5,bayesm,2,3,0.0065620667953379,0.006719478192253,0.0001448361034791,0.0242299207181413,,
kt2_s95,2comp_equal,2,95,5,bayesm,2,4,0.0045467862546372,0.0052204128036094,9.862730705177148e-05,0.0196392035247955,,
kt2_s96,2comp_equal,2,96,5,bayesm,2,0,0.5586309551064678,0.0296560578766715,0.5002520304641791,0.6153923042386966,0.5,False
kt2_s96,2comp_equal,2,96,5,bayesm,2,1,0.4195871137150803,0.0345030708027032,0.3453254676919097,0.4785828139623224,0.5,False
kt2_s96,2comp_equal,2,96,5,bayesm,2,2,0.0086616046316784,0.0151580176855592,0.0002016097080016,0.0480599800923984,,
kt2_s96,2comp_equal,2,96,5,bayesm,2,3,0.0078075608221013,0.0127815727208293,0.0001726185450257,0.0302853392649638,,
kt2_s96,2comp_equal,2,96,5,bayesm,2,4,0.0053127657246721,0.0121241521109982,9.593907992923976e-05,0.0213546182983716,,
kt2_s97,2comp_equal,2,97,5,bayesm,2,0,0.5243054254821689,0.0564244118697904,0.3387509979641013,0.5944649139594215,0.5,True
kt2_s97,2comp_equal,2,97,5,bayesm,2,1,0.4353655972183648,0.0300283625531769,0.3777083093947153,0.4935119032413044,0.5,False
