dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s05,1comp,1,5,5,bayesm,2,z1,Alt1,-0.4211804050545517,0.1567615941377037,-0.723132307048283,-0.1132047842539461,-0.2353237572900254,-0.1858566477645262,True
kt1_s05,1comp,1,5,5,bayesm,2,z1,Alt2,-0.0788637442778511,0.0741460730911112,-0.2244573464232698,0.0660649368965317,-0.0489502374408172,-0.0299135068370339,True
kt1_s05,1comp,1,5,5,bayesm,2,z1,Alt3,0.6843425624363539,0.132805585530048,0.4236084913013876,0.949625804383322,0.9420846263156124,-0.2577420638792586,True
kt1_s05,1comp,1,5,5,bayesm,2,z1,Price,-0.6616132960672332,0.0769249635991084,-0.8156999766359764,-0.5122448566751546,-0.8713161413683999,0.2097028453011666,False
kt1_s05,1comp,1,5,5,bayesm,2,z2,Alt1,-1.3152673706820646,0.1843625380142352,-1.6882573503674394,-0.9625318326318554,-1.034447407136531,-0.2808199635455335,True
kt1_s05,1comp,1,5,5,bayesm,2,z2,Alt2,-0.5605057325890698,0.0752592737261884,-0.7080316635525881,-0.4150401662306652,-0.5111013813010978,-0.0494043512879719,True
kt1_s05,1comp,1,5,5,bayesm,2,z2,Alt3,-0.3219995095160088,0.1399995912527282,-0.6041506672817883,-0.048233702077421,-0.1978629165888514,-0.1241365929271573,True
kt1_s05,1comp,1,5,5,bayesm,2,z2,Price,-0.5468608204588908,0.0755150863279689,-0.697956437840755,-0.4018622617966329,-0.5737472255937219,0.026886405134831,True
kt1_s06,1comp,1,6,5,bayesm,2,z1,Alt1,-0.4789512276277504,0.1125882659040125,-0.6991297344243665,-0.2587497252074502,-0.5727192662180957,0.0937680385903452,True
kt1_s06,1comp,1,6,5,bayesm,2,z1,Alt2,-0.2673446567142056,0.1084396851894623,-0.4835580998070871,-0.0567605641327614,-0.3912173580201911,0.1238727013059854,True
kt1_s06,1comp,1,6,5,bayesm,2,z1,Alt3,0.5676597014788045,0.1998103788686872,0.1862539251535817,0.9706684148468896,0.4369332869860589,0.1307264144927455,True
kt1_s06,1comp,1,6,5,bayesm,2,z1,Price,0.4937785335045733,0.079853336107243,0.3386646610830309,0.6525506037699205,0.4057048764901202,0.0880736570144531,True
kt1_s06,1comp,1,6,5,bayesm,2,z2,Alt1,-0.2429283520201258,0.1175521173626408,-0.4734976605805737,-0.0078242637693349,-0.3305750867456238,0.087646734725498,True
kt1_s06,1comp,1,6,5,bayesm,2,z2,Alt2,-0.5371121742417232,0.1179345296286649,-0.7712507502550563,-0.3071673501287262,-0.4670364760249886,-0.0700756982167345,True
kt1_s06,1comp,1,6,5,bayesm,2,z2,Alt3,0.2687632978473924,0.2070454385712536,-0.1434132849522018,0.6785496213268063,0.2692558796103749,-0.0004925817629824,True
