dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,invariant_rhat_max,invariant_ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
kt2_s40,2comp_equal,2,40,5,bayesm,2,217.9,0,1.1249496389509874,11.401324046010677,,,,
kt2_s41,2comp_equal,2,41,5,bayesm,2,225.8,0,1.3531388247248872,6.9990881813574655,,,,
kt2_s42,2comp_equal,2,42,5,bayesm,2,227.3,0,1.1253704810338407,10.78568837376838,,,,
kt2_s43,2comp_equal,2,43,5,bayesm,2,226.3,0,1.0203254793915797,72.92760285887343,,,,
kt2_s44,2comp_equal,2,44,5,bayesm,2,222.7,0,1.4416939414229375,4.01989254302145,,,,
kt2_s45,2comp_equal,2,45,5,bayesm,2,225.1,0,1.194866456764507,8.197449446494167,,,,
kt2_s46,2comp_equal,2,46,5,bayesm,2,223.9,0,1.044933361801368,33.951328807093134,,,,
kt2_s47,2comp_equal,2,47,5,bayesm,2,223.0,0,1.1421884391868156,9.784953312563298,,,,
kt2_s48,2comp_equal,2,48,5,bayesm,2,227.6,0,1.3033478582851004,5.297092016567147,,,,
kt2_s49,2comp_equal,2,49,5,bayesm,2,228.2,0,1.2236161236887748,6.473278571432324,,,,
kt2_s50,2comp_equal,2,50,5,bayesm,2,226.6,0,1.3202534347223152,5.270139795018296,,,,
kt2_s51,2comp_equal,2,51,5,bayesm,2,215.0,0,1.0400924930524291,46.266195078685215,,,,
kt2_s52,2comp_equal,2,52,5,bayesm,2,225.0,0,1.1387977529032511,9.611571459471282,,,,
kt2_s53,2comp_equal,2,53,5,bayesm,2,240.0,0,1.1380805645496754,13.56118155225033,,,,
kt2_s54,2comp_equal,2,54,5,bayesm,2,226.0,0,1.1441294753317135,11.052183814373029,,,,
kt2_s55,2comp_equal,2,55,5,bayesm,2,236.5,0,1.103421027264762,15.152221656495373,,,,
kt2_s56,2comp_equal,2,56,5,bayesm,2,226.8,0,1.0821390738716845,16.19713695389857,,,,
kt2_s57,2comp_equal,2,57,5,bayesm,2,221.2,0,1.3296447844833252,4.748366982309976,,,,
kt2_s58,2comp_equal,2,58,5,bayesm,2,228.1,0,1.35316174752093,4.938917853376325,,,,
kt2_s59,2comp_equal,2,59,5,bayesm,2,231.4,0,1.1767906269467965,8.207168408379612,,,,
kt2_s60,2comp_equal,2,60,5,bayesm,2,235.6,0,1.776630842337536,2.9951389024591863,,,,
kt2_s61,2comp_equal,2,61,5,bayesm,2,216.3,0,1.061610787600619,19.70933273207641,,,,
kt2_s62,2comp_equal,2,62,5,bayesm,2,218.6,0,1.0388117129077203,47.8948503176804,,,,
kt2_s63,2comp_equal,2,63,5,bayesm,2,222.9,0,1.0602434877224545,24.706662351208244,,,,
kt2_s64,2comp_equal,2,64,5,bayesm,2,216.5,0,1.0453839118364223,25.15761532266013,,,,
kt2_s65,2comp_equal,2,65,5,bayesm,2,218.9,0,1.5030184105666975,4.10315868482185,,,,
kt2_s66,2comp_equal,2,66,5,bayesm,2,219.1,0,1.3277336467276353,4.981398309367407,,,,
kt2_s67,2comp_equal,2,67,5,bayesm,2,224.7,0,1.049725522587606,28.537103551512963,,,,
kt2_s68,2comp_equal,2,68,5,bayesm,2,219.1,0,1.0107392766731762,84.0060658109899,,,,
kt2_s69,2comp_equal,2,69,5,bayesm,2,222.7,0,1.07059732754995,18.88718660408959,,,,
kt2_s70,2comp_equal,2,70,5,bayesm,2,229.6,0,1.22429835062423,6.414874468203156,,,,
kt2_s71,2comp_equal,2,71,5,bayesm,2,222.9,0,1.0612921779659128,22.54256113793747,,,,
kt2_s72,2comp_equal,2,72,5,bayesm,2,219.2,0,1.0199712961431529,85.12704352836647,,,,
kt2_s73,2comp_equal,2,73,5,bayesm,2,226.3,0,1.0458911468758685,27.490664218061863,,,,
kt2_s74,2comp_equal,2,74,5,bayesm,2,224.8,0,1.3778674107089528,4.938628025319517,,,,
kt2_s75,2comp_equal,2,75,5,bayesm,2,216.2,0,1.2883886681294618,5.517556748372415,,,,
kt2_s76,2comp_equal,2,76,5,bayesm,2,213.7,0,1.0214587343582429,95.8302740352226,,,,
kt2_s77,2comp_equal,2,77,5,bayesm,2,217.7,0,1.1516213761739238,8.582300522880962,,,,
kt2_s78,2comp_equal,2,78,5,bayesm,2,217.5,0,1.0541722501486697,27.898507337364958,,,,
kt2_s79,2comp_equal,2,79,5,bayesm,2,228.9,0,1.0234875132615346,66.14007392172566,,,,
kt2_s80,2comp_equal,2,80,5,bayesm,2,218.3,0,1.117784277766868,12.91688312942433,,,,
kt2_s81,2comp_equal,2,81,5,bayesm,2,225.1,0,1.0511346724265864,39.56909426045527,,,,
kt2_s82,2comp_equal,2,82,5,bayesm,2,219.6,0,1.1020931247616048,12.915156856377555,,,,
kt2_s83,2comp_equal,2,83,5,bayesm,2,218.2,0,1.041356682242019,46.64775414865061,,,,
kt2_s84,2comp_equal,2,84,5,bayesm,2,228.9,0,1.6403999077409686,4.125388318753647,,,,
kt2_s85,2comp_equal,2,85,5,bayesm,2,226.8,0,1.064138842775775,21.641598654192403,,,,
kt2_s86,2comp_equal,2,86,5,bayesm,2,233.7,0,1.8007391825648165,2.988710548449448,,,,
kt2_s87,2comp_equal,2,87,5,bayesm,2,222.1,0,1.1613274098669624,11.43499411997617,,,,
kt2_s88,2comp_equal,2,88,5,bayesm,2,225.4,0,1.043545005430463,35.279012773242776,,,,
kt2_s89,2comp_equal,2,89,5,bayesm,2,223.1,0,1.5585012264626577,3.6211309688157822,,,,
kt2_s90,2comp_equal,2,90,5,bayesm,2,223.6,0,1.068404014555377,20.77173460216064,,,,
kt2_s91,2comp_equal,2,91,5,bayesm,2,227.6,0,1.5048988615901913,3.8580715188777863,,,,
kt2_s92,2comp_equal,2,92,5,bayesm,2,233.1,0,1.0784768045125697,16.76623358923049,,,,
kt2_s93,2comp_equal,2,93,5,bayesm,2,231.3,0,1.0437584536053877,33.77848296361354,,,,
kt2_s94,2comp_equal,2,94,5,bayesm,2,231.7,0,1.111841778958408,11.948458670491942,,,,
kt2_s95,2comp_equal,2,95,5,bayesm,2,219.9,0,1.1267900990380688,11.178865633722667,,,,
kt2_s96,2comp_equal,2,96,5,bayesm,2,220.3,0,1.0528414648237785,29.03273945128952,,,,
kt2_s97,2comp_equal,2,97,5,bayesm,2,222.4,0,1.1832715626729902,7.586141644262738,,,,
kt2_s98,2comp_equal,2,98,5,bayesm,2,224.0,0,1.266948946332288,5.619801573863268,,,,
kt2_s99,2comp_equal,2,99,5,bayesm,2,216.4,0,1.1596625954818964,8.536901301589518,,,,
kt3_s01,3comp_equal,3,1,5,bayesm,2,215.4,0,1.2715178387635948,5.406695322857337,,,,
kt3_s02,3comp_equal,3,2,5,bayesm,2,221.2,0,1.066259486233584,19.452746174566308,,,,
kt3_s03,3comp_equal,3,3,5,bayesm,2,222.7,0,1.3439126200654266,4.645317244925941,,,,
kt3_s04,3comp_equal,3,4,5,bayesm,2,229.7,0,1.3311080257434855,4.77320250002957,,,,
kt3_s05,3comp_equal,3,5,5,bayesm,2,223.4,0,1.0699440901189543,30.431957243242607,,,,
kt3_s06,3comp_equal,3,6,5,bayesm,2,226.0,0,1.0361221069171946,39.990177309754486,,,,
kt3_s07,3comp_equal,3,7,5,bayesm,2,226.6,0,1.052904517639902,53.18669965082312,,,,
kt3_s08,3comp_equal,3,8,5,bayesm,2,234.1,0,1.332726943788293,5.070995723934471,,,,
kt3_s09,3comp_equal,3,9,5,bayesm,2,231.1,0,1.0641063902031254,20.883219272556,,,,
kt3_s100,3comp_equal,3,100,5,bayesm,2,228.1,0,1.1282257080547804,11.796148898387974,,,,
kt3_s10,3comp_equal,3,10,5,bayesm,2,232.2,0,1.1316956597200143,11.345996567285331,,,,
kt3_s11,3comp_equal,3,11,5,bayesm,2,215.8,0,1.322336389801413,4.970473292061541,,,,
kt3_s12,3comp_equal,3,12,5,bayesm,2,219.0,0,1.0224499545466856,92.52033006764348,,,,
kt3_s13,3comp_equal,3,13,5,bayesm,2,223.5,0,1.2815793300642395,5.443444576432313,,,,
kt3_s14,3comp_equal,3,14,5,bayesm,2,214.4,0,1.0108279341730757,154.32517423157248,,,,
kt3_s15,3comp_equal,3,15,5,bayesm,2,219.8,0,1.0770949836157997,27.52043510396956,,,,
kt3_s16,3comp_equal,3,16,5,bayesm,2,219.5,0,1.066964915365255,24.8361663238334,,,,
kt3_s17,3comp_equal,3,17,5,bayesm,2,223.1,0,1.0564910679724393,24.80055065276288,,,,
kt3_s18,3comp_equal,3,18,5,bayesm,2,215.5,0,1.2875873683424917,5.406005934410221,,,,
kt3_s19,3comp_equal,3,19,5,bayesm,2,226.1,0,1.058721371256436,38.97187636116512,,,,
kt3_s20,3comp_equal,3,20,5,bayesm,2,226.8,0,1.0257642941120857,80.96818106085409,,,,
kt3_s21,3comp_equal,3,21,5,bayesm,2,219.6,0,1.6360425835269357,3.2524269452733927,,,,
kt3_s22,3comp_equal,3,22,5,bayesm,2,221.3,0,1.21899507482838,6.853438766381481,,,,
kt3_s23,3comp_equal,3,23,5,bayesm,2,216.8,0,1.5049699368888774,3.699742878667202,,,,
kt3_s24,3comp_equal,3,24,5,bayesm,2,218.2,0,1.1418556478266664,9.31796817200328,,,,
kt3_s25,3comp_equal,3,25,5,bayesm,2,217.0,0,1.2047479056548258,7.198182641918498,,,,
kt3_s26,3comp_equal,3,26,5,bayesm,2,223.4,0,1.3775130701914235,5.362645018605677,,,,
kt3_s27,3comp_equal,3,27,5,bayesm,2,227.1,0,1.193174415115671,7.1550659250633615,,,,
kt3_s28,3comp_equal,3,28,5,bayesm,2,224.5,0,1.2169166753136784,6.591064167240528,,,,
kt3_s29,3comp_equal,3,29,5,bayesm,2,223.8,0,1.1342361052751528,9.644894452456928,,,,
kt3_s30,3comp_equal,3,30,5,bayesm,2,222.5,0,1.3106003956824397,5.095206037191584,,,,
kt3_s31,3comp_equal,3,31,5,bayesm,2,221.0,0,1.1319378736967465,13.561562714354222,,,,
kt3_s32,3comp_equal,3,32,5,bayesm,2,218.7,0,1.0575040540564429,56.20863571065951,,,,
kt3_s33,3comp_equal,3,33,5,bayesm,2,220.8,0,1.1404761632888891,10.663060528767264,,,,
kt3_s34,3comp_equal,3,34,5,bayesm,2,225.2,0,1.050327727166979,51.06985948969549,,,,
kt3_s35,3comp_equal,3,35,5,bayesm,2,229.5,0,1.1192056422173104,11.195432697501174,,,,
kt3_s36,3comp_equal,3,36,5,bayesm,2,221.3,0,1.0449226166859638,28.747591893903504,,,,
kt3_s37,3comp_equal,3,37,5,bayesm,2,217.0,0,1.0179402811123404,60.354658695388686,,,,
kt3_s38,3comp_equal,3,38,5,bayesm,2,224.6,0,1.0637262959924334,29.10086711794946,,,,
kt3_s39,3comp_equal,3,39,5,bayesm,2,221.8,0,1.023732307641794,69.38471196264499,,,,
kt3_s40,3comp_equal,3,40,5,bayesm,2,216.8,0,1.0680604884476197,22.7194622581984,,,,
kt3_s41,3comp_equal,3,41,5,bayesm,2,222.1,0,1.262399649005048,6.593083747047023,,,,
kt3_s42,3comp_equal,3,42,5,bayesm,2,224.5,0,1.0629347494561905,20.25876190837725,,,,
kt3_s43,3comp_equal,3,43,5,bayesm,2,223.1,0,1.389021186460661,4.215608393354427,,,,
kt3_s44,3comp_equal,3,44,5,bayesm,2,222.5,0,1.442668174909877,4.066495618338101,,,,
kt3_s45,3comp_equal,3,45,5,bayesm,2,223.2,0,1.0423747347386323,74.67142149215769,,,,
kt3_s46,3comp_equal,3,46,5,bayesm,2,227.3,0,1.0815911001060292,24.5769302808434,,,,
kt3_s47,3comp_equal,3,47,5,bayesm,2,225.4,0,1.061662018232616,20.000248796061,,,,
