dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,scope,quantity,live,rhat,ess
kt1_s08,1comp,1,8,5,bayesm,2,component_after,slot2:pvec,False,1.0178298713446248,115.567488964199
kt1_s08,1comp,1,8,5,bayesm,2,component_after,slot3:pvec,False,1.0019554400741846,1030.9169501645126
kt1_s08,1comp,1,8,5,bayesm,2,component_after,slot4:pvec,False,1.0005285218702022,6278.273260919087
kt1_s09,1comp,1,9,5,bayesm,2,invariant,E[u]_0,,1.004093531893205,798.8235479229354
kt1_s09,1comp,1,9,5,bayesm,2,invariant,E[u]_1,,1.0051991350823857,671.9531310252322
kt1_s09,1comp,1,9,5,bayesm,2,invariant,E[u]_2,,1.007038307326211,625.4051026991776
kt1_s09,1comp,1,9,5,bayesm,2,invariant,E[u]_3,,1.002512441014798,1831.9988589563936
kt1_s09,1comp,1,9,5,bayesm,2,invariant,pvec_sorted_0,,1.0002211963497956,9771.746971291985
kt1_s09,1comp,1,9,5,bayesm,2,invariant,pvec_sorted_1,,1.0006299676226718,1736.8946737439137
kt1_s09,1comp,1,9,5,bayesm,2,invariant,pvec_sorted_2,,1.0006888394013311,850.4528629410838
kt1_s09,1comp,1,9,5,bayesm,2,invariant,pvec_sorted_3,,1.0003091650420777,567.4044575099445
kt1_s09,1comp,1,9,5,bayesm,2,invariant,pvec_sorted_4,,1.000514263119383,492.3551230664568
kt1_s09,1comp,1,9,5,bayesm,2,invariant,tr(Cov[u]),,1.00059487862956,9282.237854269171
kt1_s09,1comp,1,9,5,bayesm,2,component,slot0:pvec,True,1.8268836411330225,2.8782304622663606
kt1_s09,1comp,1,9,5,bayesm,2,component,slot1:pvec,False,1.8287198583224125,2.8765137707977977
kt1_s09,1comp,1,9,5,bayesm,2,component,slot4:pvec,False,1.0031095966771104,454.39649413144434
kt1_s09,1comp,1,9,5,bayesm,2,component,slot3:pvec,False,1.0015283549620666,1812.967391312292
kt1_s09,1comp,1,9,5,bayesm,2,component,slot2:pvec,False,1.0009224772713927,1423.716619465258
kt1_s09,1comp,1,9,5,bayesm,2,component_after,slot0:pvec,True,1.000514263119383,492.3551230664568
kt1_s09,1comp,1,9,5,bayesm,2,component_after,slot1:pvec,False,1.0031095966771104,454.39649413144434
kt1_s09,1comp,1,9,5,bayesm,2,component_after,slot2:pvec,False,1.0015283549620666,1812.967391312292
kt1_s09,1comp,1,9,5,bayesm,2,component_after,slot3:pvec,False,1.0029160712630385,1138.023858501959
kt1_s09,1comp,1,9,5,bayesm,2,component_after,slot4:pvec,False,1.0009224772713927,1423.716619465258
kt1_s100,1comp,1,100,5,bayesm,2,invariant,E[u]_0,,1.0094357326104244,93.38805242677142
kt1_s100,1comp,1,100,5,bayesm,2,invariant,E[u]_1,,1.0617669935051524,25.315644412987087
kt1_s100,1comp,1,100,5,bayesm,2,invariant,E[u]_2,,1.0154163168223718,129.58954031486476
kt1_s100,1comp,1,100,5,bayesm,2,invariant,E[u]_3,,1.0265832891971909,73.8146687096257
kt1_s100,1comp,1,100,5,bayesm,2,invariant,pvec_sorted_0,,1.0229599458034135,60.078078789062616
kt1_s100,1comp,1,100,5,bayesm,2,invariant,pvec_sorted_1,,1.0633483533926658,20.05756119730418
kt1_s100,1comp,1,100,5,bayesm,2,invariant,pvec_sorted_2,,1.0927090895893086,14.48613360490102
kt1_s100,1comp,1,100,5,bayesm,2,invariant,pvec_sorted_3,,1.0869097536122871,33.87844646977077
kt1_s100,1comp,1,100,5,bayesm,2,invariant,pvec_sorted_4,,1.1011688390033965,30.514838049860725
kt1_s100,1comp,1,100,5,bayesm,2,invariant,tr(Cov[u]),,1.0181851667370403,125.34128580999068
kt1_s100,1comp,1,100,5,bayesm,2,component,slot4:pvec,True,1.9505489828686795,2.735532337336439
kt1_s100,1comp,1,100,5,bayesm,2,component,slot1:pvec,False,1.8575122417912733,2.88673705695304
kt1_s100,1comp,1,100,5,bayesm,2,component,slot0:pvec,False,1.042523370989059,42.97833227315886
kt1_s100,1comp,1,100,5,bayesm,2,component,slot2:pvec,False,1.1973356410292124,7.49084097230245
kt1_s100,1comp,1,100,5,bayesm,2,component,slot3:pvec,False,1.0910265794625624,13.289852188957465
kt1_s100,1comp,1,100,5,bayesm,2,component_after,slot0:pvec,True,1.1012299628856592,30.596574837645708
kt1_s100,1comp,1,100,5,bayesm,2,component_after,slot1:pvec,False,1.2006541784035836,6.790708675156635
kt1_s100,1comp,1,100,5,bayesm,2,component_after,slot2:pvec,False,1.0633163804352332,33.79144793242933
kt1_s100,1comp,1,100,5,bayesm,2,component_after,slot3:pvec,False,1.0580420068963858,22.97939273057697
kt1_s100,1comp,1,100,5,bayesm,2,component_after,slot4:pvec,False,0.999940878140615,19104.113198530184
kt1_s101,1comp,1,101,5,bayesm,2,invariant,E[u]_0,,1.1370394105610917,10.07450487692846
kt1_s101,1comp,1,101,5,bayesm,2,invariant,E[u]_1,,1.1162908564925504,12.112466119102914
kt1_s101,1comp,1,101,5,bayesm,2,invariant,E[u]_2,,1.1464472731219366,8.893178477244664
kt1_s101,1comp,1,101,5,bayesm,2,invariant,E[u]_3,,1.2682566318000636,5.506291237332202
kt1_s101,1comp,1,101,5,bayesm,2,invariant,pvec_sorted_0,,1.0588127663290092,20.94596471312569
kt1_s101,1comp,1,101,5,bayesm,2,invariant,pvec_sorted_1,,1.1587241260806291,8.250332405592795
kt1_s101,1comp,1,101,5,bayesm,2,invariant,pvec_sorted_2,,1.2698408448096523,5.480740181299348
kt1_s101,1comp,1,101,5,bayesm,2,invariant,pvec_sorted_3,,1.3166097862475077,4.915490806193991
kt1_s101,1comp,1,101,5,bayesm,2,invariant,pvec_sorted_4,,1.34382608942619,4.659038381806386
kt1_s101,1comp,1,101,5,bayesm,2,invariant,tr(Cov[u]),,1.0948681558652873,13.85082258483648
kt1_s101,1comp,1,101,5,bayesm,2,component,slot1:pvec,True,1.899137249736064,2.804081895329759
kt1_s101,1comp,1,101,5,bayesm,2,component,slot4:pvec,False,1.6992462893568705,3.3978399075589567
kt1_s101,1comp,1,101,5,bayesm,2,component,slot2:pvec,False,1.2287942009265491,6.579322211186456
kt1_s101,1comp,1,101,5,bayesm,2,component,slot0:pvec,False,1.128515782226139,10.35083641658174
kt1_s101,1comp,1,101,5,bayesm,2,component,slot3:pvec,False,1.0226362537278544,63.11710322812206
kt1_s101,1comp,1,101,5,bayesm,2,component_after,slot0:pvec,True,1.34382608942619,4.659038381806386
kt1_s101,1comp,1,101,5,bayesm,2,component_after,slot1:pvec,False,1.1259777916957083,11.732168870013751
kt1_s101,1comp,1,101,5,bayesm,2,component_after,slot2:pvec,False,1.2079262754319395,6.851849299266266
kt1_s101,1comp,1,101,5,bayesm,2,component_after,slot3:pvec,False,1.0092797654687276,375.71774312650064
kt1_s101,1comp,1,101,5,bayesm,2,component_after,slot4:pvec,False,1.073322781314279,19.29482502160284
kt1_s10,1comp,1,10,5,bayesm,2,invariant,E[u]_0,,1.000453514757797,3638.023759609929
kt1_s10,1comp,1,10,5,bayesm,2,invariant,E[u]_1,,1.0027645995374654,904.5315656855354
kt1_s10,1comp,1,10,5,bayesm,2,invariant,E[u]_2,,1.0004547312399754,4747.772444900684
kt1_s10,1comp,1,10,5,bayesm,2,invariant,E[u]_3,,1.0116069920828552,142.26273140931002
