dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
kt1_s22,1comp,1,22,5,hmc,2,beta_i,kernel_04,0,0.0,0.8667593598365784,,,,,
kt1_s23,1comp,1,23,5,hmc,2,pvec_latent,kernel_00,48,0.0024,0.9157658219337464,,,,,
kt1_s23,1comp,1,23,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,53,0.00265,0.916959285736084,,,,,
kt1_s23,1comp,1,23,5,hmc,2,mu_k,kernel_02,103,0.00515,0.7750747799873352,,,,,
kt1_s23,1comp,1,23,5,hmc,2,Delta,kernel_03,0,0.0,0.9228159189224244,,,,,
kt1_s23,1comp,1,23,5,hmc,2,beta_i,kernel_04,0,0.0,0.9279197454452516,,,,,
kt1_s24,1comp,1,24,5,hmc,2,pvec_latent,kernel_00,11,0.00055,0.9764351844787598,,,,,
kt1_s24,1comp,1,24,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,148,0.0074,0.9286462664604188,,,,,
kt1_s24,1comp,1,24,5,hmc,2,mu_k,kernel_02,2,0.0001,0.9517617225646972,,,,,
kt1_s24,1comp,1,24,5,hmc,2,Delta,kernel_03,0,0.0,0.9080250263214112,,,,,
kt1_s24,1comp,1,24,5,hmc,2,beta_i,kernel_04,0,0.0,0.8912105560302734,,,,,
kt1_s25,1comp,1,25,5,hmc,2,pvec_latent,kernel_00,2737,0.13685,0.8141143321990967,,,,,
kt1_s25,1comp,1,25,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,400,0.02,0.8688594698905945,,,,,
kt1_s25,1comp,1,25,5,hmc,2,mu_k,kernel_02,0,0.0,0.9000276327133179,,,,,
kt1_s25,1comp,1,25,5,hmc,2,Delta,kernel_03,0,0.0,0.9013798832893372,,,,,
kt1_s25,1comp,1,25,5,hmc,2,beta_i,kernel_04,0,0.0,0.9194929599761964,,,,,
kt1_s26,1comp,1,26,5,hmc,2,pvec_latent,kernel_00,822,0.0411,0.9305774569511414,,,,,
kt1_s26,1comp,1,26,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,226,0.0113,0.8998960256576538,,,,,
kt1_s26,1comp,1,26,5,hmc,2,mu_k,kernel_02,0,0.0,0.94640451669693,,,,,
kt1_s26,1comp,1,26,5,hmc,2,Delta,kernel_03,0,0.0,0.9193640351295472,,,,,
kt1_s26,1comp,1,26,5,hmc,2,beta_i,kernel_04,0,0.0,0.9302738308906556,,,,,
kt1_s27,1comp,1,27,5,hmc,2,pvec_latent,kernel_00,1011,0.05055,0.9256173968315125,,,,,
kt1_s27,1comp,1,27,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,7,0.00035,0.9284099340438844,,,,,
kt1_s27,1comp,1,27,5,hmc,2,mu_k,kernel_02,1,5e-05,0.9017847776412964,,,,,
kt1_s27,1comp,1,27,5,hmc,2,Delta,kernel_03,0,0.0,0.910218358039856,,,,,
kt1_s27,1comp,1,27,5,hmc,2,beta_i,kernel_04,0,0.0,0.9035228490829468,,,,,
kt1_s28,1comp,1,28,5,hmc,2,pvec_latent,kernel_00,147,0.00735,0.9758093953132628,,,,,
kt1_s28,1comp,1,28,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,46,0.0023,0.9304252862930298,,,,,
kt1_s28,1comp,1,28,5,hmc,2,mu_k,kernel_02,630,0.0315,0.7619630694389343,,,,,
kt1_s28,1comp,1,28,5,hmc,2,Delta,kernel_03,0,0.0,0.9323482513427734,,,,,
kt1_s28,1comp,1,28,5,hmc,2,beta_i,kernel_04,0,0.0,0.8531302809715271,,,,,
kt1_s29,1comp,1,29,5,hmc,2,pvec_latent,kernel_00,2137,0.10685,0.7746657729148865,,,,,
kt1_s29,1comp,1,29,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,449,0.02245,0.8769556879997253,,,,,
kt1_s29,1comp,1,29,5,hmc,2,mu_k,kernel_02,445,0.02225,0.8535656332969666,,,,,
kt1_s29,1comp,1,29,5,hmc,2,Delta,kernel_03,0,0.0,0.9228244423866272,,,,,
kt1_s29,1comp,1,29,5,hmc,2,beta_i,kernel_04,0,0.0,0.9177809357643129,,,,,
kt1_s30,1comp,1,30,5,hmc,2,pvec_latent,kernel_00,3230,0.1615,0.8009638786315918,,,,,
kt1_s30,1comp,1,30,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,100,0.005,0.8923220634460449,,,,,
kt1_s30,1comp,1,30,5,hmc,2,mu_k,kernel_02,8,0.0004,0.8941091895103455,,,,,
kt1_s30,1comp,1,30,5,hmc,2,Delta,kernel_03,0,0.0,0.9519252181053162,,,,,
kt1_s30,1comp,1,30,5,hmc,2,beta_i,kernel_04,0,0.0,0.9081608653068542,,,,,
kt1_s31,1comp,1,31,5,hmc,2,pvec_latent,kernel_00,50,0.0025,0.9609217047691344,,,,,
kt1_s31,1comp,1,31,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,248,0.0124,0.8739830851554871,,,,,
kt1_s31,1comp,1,31,5,hmc,2,mu_k,kernel_02,0,0.0,0.9834062457084656,,,,,
kt1_s31,1comp,1,31,5,hmc,2,Delta,kernel_03,0,0.0,0.9151288270950316,,,,,
kt1_s31,1comp,1,31,5,hmc,2,beta_i,kernel_04,0,0.0,0.856519341468811,,,,,
kt1_s32,1comp,1,32,5,hmc,2,pvec_latent,kernel_00,281,0.01405,0.964779496192932,,,,,
kt1_s32,1comp,1,32,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,4,0.0002,0.931800901889801,,,,,
kt1_s32,1comp,1,32,5,hmc,2,mu_k,kernel_02,86,0.0043,0.8932768702507019,,,,,
kt1_s32,1comp,1,32,5,hmc,2,Delta,kernel_03,0,0.0,0.9334675669670104,,,,,
kt1_s32,1comp,1,32,5,hmc,2,beta_i,kernel_04,0,0.0,0.9034118056297302,,,,,
kt1_s33,1comp,1,33,5,hmc,2,pvec_latent,kernel_00,469,0.02345,0.9647175669670104,,,,,
kt1_s33,1comp,1,33,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,516,0.0258,0.8565791845321655,,,,,
kt1_s33,1comp,1,33,5,hmc,2,mu_k,kernel_02,6,0.0003,0.8516290783882141,,,,,
kt1_s33,1comp,1,33,5,hmc,2,Delta,kernel_03,0,0.0,0.9352933764457704,,,,,
kt1_s33,1comp,1,33,5,hmc,2,beta_i,kernel_04,0,0.0,0.8955718874931335,,,,,
kt1_s34,1comp,1,34,5,hmc,2,pvec_latent,kernel_00,0,0.0,0.8342316150665283,,,,,
kt1_s34,1comp,1,34,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,0,0.0,0.9270678758621216,,,,,
kt1_s34,1comp,1,34,5,hmc,2,mu_k,kernel_02,9,0.00045,0.9467845559120178,,,,,
kt1_s34,1comp,1,34,5,hmc,2,Delta,kernel_03,0,0.0,0.8855599761009216,,,,,
kt1_s34,1comp,1,34,5,hmc,2,beta_i,kernel_04,0,0.0,0.8291027545928955,,,,,
kt1_s35,1comp,1,35,5,hmc,2,pvec_latent,kernel_00,1852,0.0926,0.7846351265907288,,,,,
kt1_s35,1comp,1,35,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,1,5e-05,0.9266732335090636,,,,,
kt1_s35,1comp,1,35,5,hmc,2,mu_k,kernel_02,4,0.0002,0.929163694381714,,,,,
kt1_s35,1comp,1,35,5,hmc,2,Delta,kernel_03,0,0.0,0.8735339045524597,,,,,
kt1_s35,1comp,1,35,5,hmc,2,beta_i,kernel_04,0,0.0,0.8831326365470886,,,,,
kt1_s36,1comp,1,36,5,hmc,2,pvec_latent,kernel_00,22,0.0011,0.8075824975967407,,,,,
kt1_s36,1comp,1,36,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,254,0.0127,0.890357255935669,,,,,
kt1_s36,1comp,1,36,5,hmc,2,mu_k,kernel_02,173,0.00865,0.8327367305755615,,,,,
kt1_s36,1comp,1,36,5,hmc,2,Delta,kernel_03,0,0.0,0.919048547744751,,,,,
