dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,quantity,rhat,ess
std_s59,standard,1,59,1,hmc,2,mu:Alt2,1.0010984043701368,2070.299239143701
std_s59,standard,1,59,1,hmc,2,mu:Alt3,1.0005202368293815,2265.524509257379
std_s59,standard,1,59,1,hmc,2,mu:Price,1.0029284415777784,1092.1727130601273
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt1,Alt1",1.00154754300299,626.1965148250699
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt2,Alt1",1.001159756194047,529.2520656752116
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt2,Alt2",1.000423067144387,706.0190260888644
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt3,Alt1",1.001916127289158,1156.7071457073937
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt3,Alt2",1.0026037369253151,1198.5478145181958
std_s59,standard,1,59,1,hmc,2,"Sigma:Alt3,Alt3",1.0012464250178903,894.2276265152741
std_s59,standard,1,59,1,hmc,2,"Sigma:Price,Alt1",1.004798282495446,757.244473757451
std_s59,standard,1,59,1,hmc,2,"Sigma:Price,Alt2",1.001585548094147,421.969019154609
std_s59,standard,1,59,1,hmc,2,"Sigma:Price,Alt3",1.0006886382695988,855.4068915830318
std_s59,standard,1,59,1,hmc,2,"Sigma:Price,Price",1.001014676732592,1777.5689524646357
std_s59,standard,1,59,1,hmc,2,tr(Sigma),1.0016823067534566,705.9261982460732
std_s59,standard,1,59,1,hmc,2,Delta:z1:Alt1,1.0012666657276024,1247.5740088363011
std_s59,standard,1,59,1,hmc,2,Delta:z1:Alt2,1.0010318393601685,2533.856195549
std_s59,standard,1,59,1,hmc,2,Delta:z1:Alt3,1.0006424210065263,1254.952201352763
std_s59,standard,1,59,1,hmc,2,Delta:z1:Price,1.0006946436131567,2065.023879888431
std_s59,standard,1,59,1,hmc,2,Delta:z2:Alt1,1.0014933216731228,1208.6215678803414
std_s59,standard,1,59,1,hmc,2,Delta:z2:Alt2,1.0019227858361963,1695.157085872884
std_s59,standard,1,59,1,hmc,2,Delta:z2:Alt3,1.002711646678203,1010.9576544915524
std_s59,standard,1,59,1,hmc,2,Delta:z2:Price,1.0003608393511365,2036.58726905
std_s59,standard,1,59,1,hmc,2,beta[unit0]:Alt1,1.0000730980076338,6960.757723356518
std_s59,standard,1,59,1,hmc,2,beta[unit0]:Alt2,1.0000003135968225,9277.471815396138
std_s59,standard,1,59,1,hmc,2,beta[unit0]:Alt3,1.0000308919762757,6830.783516092375
std_s59,standard,1,59,1,hmc,2,beta[unit0]:Price,1.0001521959956885,10443.148848524668
std_s59,standard,1,59,1,hmc,2,beta[unit299]:Alt1,0.9999538795614452,9530.397235697654
std_s59,standard,1,59,1,hmc,2,beta[unit299]:Alt2,0.9999820778968196,11625.094583027085
std_s59,standard,1,59,1,hmc,2,beta[unit299]:Alt3,0.9999920607947966,8857.92781014636
std_s59,standard,1,59,1,hmc,2,beta[unit299]:Price,0.9999856107503556,14721.568368486103
std_s60,standard,1,60,1,hmc,2,mu:Alt1,1.000355825004238,1937.772594128844
std_s60,standard,1,60,1,hmc,2,mu:Alt2,1.0011545859701596,1238.0644570578672
std_s60,standard,1,60,1,hmc,2,mu:Alt3,1.0005633357137886,1200.6533224850962
std_s60,standard,1,60,1,hmc,2,mu:Price,1.00141929142223,1072.0399257557058
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt1,Alt1",1.0034956056214162,708.5970138492918
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt2,Alt1",1.0005009089860262,955.1988494941108
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt2,Alt2",1.006356939819653,241.1430339209843
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt3,Alt1",1.0013147118400694,794.0835256804154
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt3,Alt2",1.0045815130557467,484.1488836830019
std_s60,standard,1,60,1,hmc,2,"Sigma:Alt3,Alt3",1.0011553104845152,492.8759829486991
std_s60,standard,1,60,1,hmc,2,"Sigma:Price,Alt1",1.0038451243421274,227.34676484857
std_s60,standard,1,60,1,hmc,2,"Sigma:Price,Alt2",1.004963528258948,246.75764125040428
std_s60,standard,1,60,1,hmc,2,"Sigma:Price,Alt3",1.0028539768294724,343.1119799299176
std_s60,standard,1,60,1,hmc,2,"Sigma:Price,Price",1.000597194880434,5555.733685883196
std_s60,standard,1,60,1,hmc,2,tr(Sigma),1.0021124377588655,713.0007064696614
std_s60,standard,1,60,1,hmc,2,Delta:z1:Alt1,1.000922959853248,1308.146028448535
std_s60,standard,1,60,1,hmc,2,Delta:z1:Alt2,1.0000255728410163,1245.531698458833
std_s60,standard,1,60,1,hmc,2,Delta:z1:Alt3,1.0007800729310103,896.4352262493994
std_s60,standard,1,60,1,hmc,2,Delta:z1:Price,1.0007759324886192,3695.813337236554
std_s60,standard,1,60,1,hmc,2,Delta:z2:Alt1,1.0010846986351143,1312.2153719000096
