dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s100,standard,1,100,1,bayesm,2,full,Alt1,0.9999999999949264,0.9999999999997096,0.01493,0.00088,0.00022,0.01646,0.04613
std_s100,standard,1,100,1,bayesm,2,full,Alt2,0.9999999999984526,0.9999999999999896,0.02595,0.00273,0.00067,0.02822,0.07621
std_s100,standard,1,100,1,bayesm,2,full,Alt3,0.999999999997323,1.0,0.0605,0.01618,0.00362,0.05693,0.09082
std_s100,standard,1,100,1,bayesm,2,full,Price,0.9999999999968748,0.9999999999999976,0.03683,0.00576,0.00135,0.03455,0.06291
std_s100,standard,1,100,1,bayesm,2,chebyshev,Alt1,0.9999989939344224,0.9999994266968562,0.01492,0.00088,0.00022,0.01646,0.04612
std_s100,standard,1,100,1,bayesm,2,chebyshev,Alt2,0.999998409216638,0.9999995592053904,0.02595,0.00273,0.00067,0.02822,0.0762
std_s100,standard,1,100,1,bayesm,2,chebyshev,Alt3,0.9999985038262552,0.9999999835169784,0.0605,0.01617,0.00362,0.05693,0.09081
std_s100,standard,1,100,1,bayesm,2,chebyshev,Price,0.999998909509234,0.999999926340148,0.03683,0.00576,0.00135,0.03455,0.0629
std_s10,standard,1,10,1,bayesm,2,full,Alt1,0.9999999999983392,0.9999999999998124,0.01882,0.00139,0.00035,0.01944,0.04458
std_s10,standard,1,10,1,bayesm,2,full,Alt2,0.9999999999992109,1.0,0.05432,0.01279,0.00293,0.05253,0.13941
std_s10,standard,1,10,1,bayesm,2,full,Alt3,0.999999999997471,0.9999999999999792,0.01634,0.00108,0.00027,0.0175,0.05097
std_s10,standard,1,10,1,bayesm,2,full,Price,0.9999999999986554,0.9999999999998578,0.0275,0.00297,0.00076,0.03034,0.09837
std_s10,standard,1,10,1,bayesm,2,chebyshev,Alt1,0.9999993663750286,0.9999994266968562,0.01882,0.00139,0.00035,0.01944,0.04458
std_s10,standard,1,10,1,bayesm,2,chebyshev,Alt2,0.9999984187059108,0.999999935315188,0.05431,0.01279,0.00293,0.05253,0.13941
std_s10,standard,1,10,1,bayesm,2,chebyshev,Alt3,0.9999985569657952,0.9999995424751488,0.01634,0.00108,0.00027,0.0175,0.05097
std_s10,standard,1,10,1,bayesm,2,chebyshev,Price,0.9999992512543586,0.9999994266968562,0.0275,0.00297,0.00076,0.03034,0.09837
std_s11,standard,1,11,1,bayesm,2,full,Alt1,0.9999999999986708,0.9999999999999932,0.03398,0.00465,0.00115,0.03825,0.09167
std_s11,standard,1,11,1,bayesm,2,full,Alt2,0.9999999999987133,1.0,0.06585,0.01892,0.0043,0.06581,0.10805
std_s11,standard,1,11,1,bayesm,2,full,Alt3,0.9999999999992352,0.999999999999998,0.03236,0.00417,0.00105,0.03686,0.10043
std_s11,standard,1,11,1,bayesm,2,full,Price,0.999999999993958,0.9999999999999972,0.0433,0.00803,0.00186,0.04087,0.09906
std_s11,standard,1,11,1,bayesm,2,chebyshev,Alt1,0.9999985395404568,0.9999995653637516,0.03398,0.00465,0.00115,0.03825,0.09167
std_s11,standard,1,11,1,bayesm,2,chebyshev,Alt2,0.999998269022773,0.9999999337362258,0.06584,0.01891,0.0043,0.0658,0.10805
std_s11,standard,1,11,1,bayesm,2,chebyshev,Alt3,0.9999985780165452,0.999999516918111,0.03235,0.00417,0.00105,0.03686,0.10043
std_s11,standard,1,11,1,bayesm,2,chebyshev,Price,0.9999989391200363,0.999999950784048,0.0433,0.00803,0.00186,0.04087,0.09906
std_s12,standard,1,12,1,bayesm,2,full,Alt1,0.9999999999985212,0.9999999999999988,0.03544,0.00526,0.00125,0.03535,0.1058
std_s12,standard,1,12,1,bayesm,2,full,Alt2,0.9999999999997096,1.0,0.03398,0.00488,0.00115,0.032,0.06971
std_s12,standard,1,12,1,bayesm,2,full,Alt3,0.9999999999972362,0.9999999999999962,0.02569,0.00268,0.00066,0.02743,0.05967
std_s12,standard,1,12,1,bayesm,2,full,Price,0.9999999999958308,0.999999999999893,0.02795,0.00318,0.00078,0.0305,0.05922
std_s12,standard,1,12,1,bayesm,2,chebyshev,Alt1,0.9999986234036576,0.999999812794287,0.03544,0.00526,0.00125,0.03535,0.1058
std_s12,standard,1,12,1,bayesm,2,chebyshev,Alt2,0.999998612848738,0.9999998826168192,0.03398,0.00488,0.00115,0.032,0.06971
std_s12,standard,1,12,1,bayesm,2,chebyshev,Alt3,0.9999979844961812,0.9999995660241284,0.02569,0.00268,0.00066,0.02743,0.05966
std_s12,standard,1,12,1,bayesm,2,chebyshev,Price,0.9999988828968768,0.9999996038423752,0.02795,0.00318,0.00078,0.0305,0.05922
std_s13,standard,1,13,1,bayesm,2,full,Alt1,0.999999999998742,0.9999999999999988,0.01176,0.00057,0.00014,0.00893,0.01894
std_s13,standard,1,13,1,bayesm,2,full,Alt2,0.9999999999987844,0.9999999999999865,0.0142,0.0008,0.0002,0.01546,0.04564
std_s13,standard,1,13,1,bayesm,2,full,Alt3,0.9999999999975848,0.9999999999994094,0.03904,0.00587,0.00152,0.04002,0.10696
std_s13,standard,1,13,1,bayesm,2,full,Price,0.9999999999959532,0.9999999999999326,0.02173,0.00194,0.00047,0.02192,0.0691
std_s13,standard,1,13,1,bayesm,2,chebyshev,Alt1,0.9999983207188764,0.9999996816165628,0.01175,0.00057,0.00014,0.00893,0.01893
std_s13,standard,1,13,1,bayesm,2,chebyshev,Alt2,0.9999987727126144,0.9999994266968562,0.0142,0.0008,0.0002,0.01545,0.04564
std_s13,standard,1,13,1,bayesm,2,chebyshev,Alt3,0.999999548059454,0.9999994266968562,0.03904,0.00587,0.00152,0.04002,0.10696
std_s13,standard,1,13,1,bayesm,2,chebyshev,Price,0.9999987439034004,0.9999996710238808,0.02172,0.00194,0.00047,0.02192,0.0691
std_s14,standard,1,14,1,bayesm,2,full,Alt1,0.9999999999986876,1.0,0.03653,0.00573,0.00133,0.03287,0.04587
std_s14,standard,1,14,1,bayesm,2,full,Alt2,0.99999999999884,0.9999999999999984,0.01747,0.00127,0.0003,0.01514,0.03733
std_s14,standard,1,14,1,bayesm,2,full,Alt3,0.9999999999988768,1.0,0.04102,0.00713,0.00167,0.04014,0.10289
std_s14,standard,1,14,1,bayesm,2,full,Price,0.9999999999975948,0.9999999999996588,0.01841,0.00134,0.00034,0.0196,0.05088
std_s14,standard,1,14,1,bayesm,2,chebyshev,Alt1,0.9999978150281308,0.999999912281025,0.03652,0.00572,0.00133,0.03287,0.04586
std_s14,standard,1,14,1,bayesm,2,chebyshev,Alt2,0.9999986456490167,0.9999997739693444,0.01747,0.00127,0.0003,0.01514,0.03732
std_s14,standard,1,14,1,bayesm,2,chebyshev,Alt3,0.9999984480492392,0.999999875005182,0.04101,0.00713,0.00167,0.04014,0.10288
std_s14,standard,1,14,1,bayesm,2,chebyshev,Price,0.9999992775164678,0.9999994266968562,0.01841,0.00134,0.00034,0.0196,0.05087
std_s15,standard,1,15,1,bayesm,2,full,Alt1,0.9999999999993068,0.9999999999999976,0.02881,0.0034,0.00083,0.03041,0.10341
std_s15,standard,1,15,1,bayesm,2,full,Alt2,0.9999999999993046,0.9999999999999876,0.03339,0.00433,0.00111,0.03513,0.06628
std_s15,standard,1,15,1,bayesm,2,full,Alt3,0.9999999999969575,0.999999999996272,0.04061,0.00632,0.00165,0.04113,0.06403
std_s15,standard,1,15,1,bayesm,2,full,Price,0.999999999997984,0.9999999999990726,0.02946,0.00337,0.00087,0.02984,0.07424
std_s15,standard,1,15,1,bayesm,2,chebyshev,Alt1,0.9999984263924772,0.9999996413373003,0.0288,0.0034,0.00083,0.03041,0.10341
std_s15,standard,1,15,1,bayesm,2,chebyshev,Alt2,0.9999991989106448,0.9999994266968562,0.03339,0.00433,0.00111,0.03513,0.06628
std_s15,standard,1,15,1,bayesm,2,chebyshev,Alt3,0.9999997962111974,0.9999994266968562,0.04061,0.00632,0.00165,0.04112,0.06403
std_s15,standard,1,15,1,bayesm,2,chebyshev,Price,0.999999597709722,0.9999994266968562,0.02946,0.00337,0.00087,0.02984,0.07424
std_s16,standard,1,16,1,bayesm,2,full,Alt1,0.999999999997543,1.0,0.05254,0.01203,0.00274,0.04945,0.12644
std_s16,standard,1,16,1,bayesm,2,full,Alt2,0.9999999999965772,0.9999999999999908,0.05546,0.0128,0.00307,0.06039,0.18767
std_s16,standard,1,16,1,bayesm,2,full,Alt3,0.9999999999991036,1.0,0.04408,0.00808,0.00193,0.04448,0.1136
std_s16,standard,1,16,1,bayesm,2,full,Price,0.9999999999974516,0.9999999999999852,0.01499,0.00093,0.00022,0.01292,0.02761
std_s16,standard,1,16,1,bayesm,2,chebyshev,Alt1,0.9999986865874146,0.9999999680822284,0.05253,0.01202,0.00274,0.04945,0.12642
std_s16,standard,1,16,1,bayesm,2,chebyshev,Alt2,0.999998499948789,0.9999997195170746,0.05546,0.0128,0.00307,0.06039,0.18766
std_s16,standard,1,16,1,bayesm,2,chebyshev,Alt3,0.9999933655919596,0.9999996137846524,0.04406,0.00806,0.00193,0.04448,0.11358
std_s16,standard,1,16,1,bayesm,2,chebyshev,Price,0.9999987683081948,0.9999997393985938,0.01498,0.00093,0.00022,0.01292,0.0276
std_s17,standard,1,17,1,bayesm,2,full,Alt1,0.9999999999995014,0.9999999999999372,0.05607,0.01192,0.00313,0.05759,0.13335
std_s17,standard,1,17,1,bayesm,2,full,Alt2,0.9999999999975884,1.0,0.06537,0.019,0.00422,0.062,0.14706
std_s17,standard,1,17,1,bayesm,2,full,Alt3,0.9999999999971362,0.99999999996445,0.07833,0.02255,0.00607,0.07796,0.16912
std_s17,standard,1,17,1,bayesm,2,full,Price,0.9999999999958766,0.9999999999999746,0.02875,0.00343,0.00082,0.0285,0.06868
std_s17,standard,1,17,1,bayesm,2,chebyshev,Alt1,0.9999997249343768,0.9999994266968562,0.05607,0.01192,0.00313,0.05759,0.13334
std_s17,standard,1,17,1,bayesm,2,chebyshev,Alt2,0.9999982063991684,0.9999999766901037,0.06536,0.01899,0.00422,0.06199,0.14705
std_s17,standard,1,17,1,bayesm,2,chebyshev,Alt3,0.9999999340448052,0.9999994266968562,0.07833,0.02255,0.00607,0.07796,0.16912
std_s17,standard,1,17,1,bayesm,2,chebyshev,Price,0.9999988248755242,0.9999997769507434,0.02875,0.00343,0.00082,0.02849,0.06868
std_s18,standard,1,18,1,bayesm,2,full,Alt1,0.9999999999980732,1.0,0.03048,0.00394,0.00092,0.02727,0.04778
std_s18,standard,1,18,1,bayesm,2,full,Alt2,0.9999999999985671,1.0,0.08597,0.03368,0.00726,0.08312,0.21378
std_s18,standard,1,18,1,bayesm,2,full,Alt3,0.9999999999985516,0.9999999999986184,0.07289,0.01975,0.00527,0.0739,0.13504
