dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,row,col,post_mean,post_std,ci_low,ci_high,true_value,empirical,abs_diff,in_ci
std_s70,standard,1,70,1,hmc,2,Price,Price,1.1082441806793213,0.1079428270459175,0.9137865036725998,1.3362903237342831,1.1033140161968458,1.2509252115966585,0.0049301644824755,True
std_s71,standard,1,71,1,hmc,2,Alt1,Alt1,0.6962624788284302,0.0869887471199035,0.5440415933728218,0.8841242328286169,0.6880818953741239,1.0803566828588786,0.0081805834543062,True
std_s71,standard,1,71,1,hmc,2,Alt2,Alt1,0.0316134169697761,0.0637085065245628,-0.0912457332015037,0.1595283608883617,0.0,-0.1828458749446571,0.0316134169697761,True
std_s71,standard,1,71,1,hmc,2,Alt2,Alt2,0.7378434538841248,0.0997576266527175,0.5638778880238533,0.951606588065624,0.583396867882573,0.6586258173293831,0.1544465860015518,True
std_s71,standard,1,71,1,hmc,2,Alt3,Alt1,0.0166051052510738,0.1052009463310241,-0.1879045944660902,0.2265673100948333,0.0,-0.0824355072380577,0.0166051052510738,True
std_s71,standard,1,71,1,hmc,2,Alt3,Alt2,0.064707800745964,0.1058017387986183,-0.1366136956959963,0.280123233795166,0.0,0.0135799531278796,0.064707800745964,True
std_s71,standard,1,71,1,hmc,2,Alt3,Alt3,1.7487140893936155,0.2353403866291046,1.331671917438507,2.25290680527687,1.5289747597426937,1.6630425407124552,0.219739329650922,True
std_s71,standard,1,71,1,hmc,2,Price,Alt1,-0.0800345242023468,0.0527584441006183,-0.183842771872878,0.0219879504293202,0.0,-0.0856569980681938,0.0800345242023468,True
std_s71,standard,1,71,1,hmc,2,Price,Alt2,0.0248066931962966,0.0554568246006965,-0.0827673299238085,0.1360585384070873,0.0,-0.0396210588401449,0.0248066931962966,True
std_s71,standard,1,71,1,hmc,2,Price,Alt3,-0.0199084319174289,0.082827590405941,-0.1838040240108966,0.143442118540406,0.0,-0.1086371558702446,0.0199084319174289,True
std_s71,standard,1,71,1,hmc,2,Price,Price,0.6560712456703186,0.0673841312527656,0.5347862109541893,0.7985725849866866,0.6577489861302519,0.7036447912024038,0.0016777404599332,True
std_s72,standard,1,72,1,hmc,2,Alt1,Alt1,1.068550944328308,0.1437929570674896,0.8086018413305283,1.3659558683633797,1.064471860634172,1.1780617675246536,0.004079083694136,True
std_s72,standard,1,72,1,hmc,2,Alt2,Alt1,-0.2236042469739914,0.1215790659189224,-0.463066728413105,0.011246813018806,0.0,-0.1713719918050928,0.2236042469739914,True
std_s72,standard,1,72,1,hmc,2,Alt2,Alt2,1.9370439052581787,0.2190233170986175,1.5433862209320068,2.399283295869828,1.7770071795353284,2.1849464110483607,0.1600367257228503,True
std_s72,standard,1,72,1,hmc,2,Alt3,Alt1,-0.1174679324030876,0.0937167033553123,-0.2998673893511295,0.0698393881320948,0.0,0.1369712221015692,0.1174679324030876,True
std_s72,standard,1,72,1,hmc,2,Alt3,Alt2,0.2381994426250457,0.1179179027676582,0.0181344268843531,0.4814052708446975,0.0,0.6975652562451933,0.2381994426250457,False
std_s72,standard,1,72,1,hmc,2,Alt3,Alt3,0.9175589680671692,0.1205343529582023,0.707726614177227,1.1796696364879606,0.7679500971204059,2.143728697495928,0.1496088709467633,True
std_s72,standard,1,72,1,hmc,2,Price,Alt1,-0.0245217215269804,0.0961058437824249,-0.2160788647830486,0.1642774458974599,0.0,-0.1941634338181894,0.0245217215269804,True
std_s72,standard,1,72,1,hmc,2,Price,Alt2,-0.0259983576834201,0.1172745376825332,-0.2566153742372989,0.2050476621836423,0.0,0.0452517170091967,0.0259983576834201,True
std_s72,standard,1,72,1,hmc,2,Price,Alt3,0.1256658881902694,0.0903604999184608,-0.0495346898213028,0.3030711725354186,0.0,-0.2883548339542716,0.1256658881902694,True
std_s72,standard,1,72,1,hmc,2,Price,Price,1.376983404159546,0.1362316757440567,1.133829617500305,1.6648334890604015,1.109873936366363,2.033328720399012,0.2671094677931829,False
std_s73,standard,1,73,1,hmc,2,Alt1,Alt1,0.972623348236084,0.1354254186153412,0.733049550652504,1.2626098603010176,0.9856687461829896,1.5738853106776014,0.0130453979469057,True
std_s73,standard,1,73,1,hmc,2,Alt2,Alt1,0.048461552709341,0.0974729806184768,-0.1373568404465913,0.2457766916602846,0.0,0.3027851969541663,0.048461552709341,True
std_s73,standard,1,73,1,hmc,2,Alt2,Alt2,1.163448452949524,0.1432975828647613,0.9029588788747788,1.4663019180297852,1.115114466459262,1.2304850919514605,0.0483339864902618,True
std_s73,standard,1,73,1,hmc,2,Alt3,Alt1,0.0008927825838327,0.1069589704275131,-0.2051123365759849,0.2140232887119051,0.0,0.4631727807173753,0.0008927825838327,True
std_s73,standard,1,73,1,hmc,2,Alt3,Alt2,0.1033149659633636,0.1109077706933021,-0.1079170925542712,0.3274492703378199,0.0,0.1947475522609376,0.1033149659633636,True
std_s73,standard,1,73,1,hmc,2,Alt3,Alt3,1.5214470624923706,0.1811825484037399,1.2023971796035766,1.9071926921606064,1.4860235937920416,1.68533413467491,0.0354234687003289,True
std_s73,standard,1,73,1,hmc,2,Price,Alt1,0.198320209980011,0.0835349708795547,0.0377077690325677,0.3645232498645778,0.0,0.1558720999281093,0.198320209980011,False
std_s73,standard,1,73,1,hmc,2,Price,Alt2,0.1922942698001861,0.0848374217748642,0.030441709421575,0.3643458306789397,0.0,0.2366710069680165,0.1922942698001861,False
std_s73,standard,1,73,1,hmc,2,Price,Alt3,0.1644563823938369,0.0928510427474975,-0.0133626370225101,0.3524069488048553,0.0,0.1557313853431924,0.1644563823938369,True
std_s73,standard,1,73,1,hmc,2,Price,Price,1.0797728300094604,0.102528877556324,0.895334230363369,1.2944073647260663,1.0666354523937105,1.077063145301723,0.0131373776157499,True
std_s74,standard,1,74,1,hmc,2,Alt1,Alt1,1.6146568059921265,0.2110111564397812,1.2379873663187029,2.0653383910655974,1.339726757840665,1.4676459069787346,0.2749300481514614,True
std_s74,standard,1,74,1,hmc,2,Alt2,Alt1,0.243894338607788,0.1172148361802101,0.0223255610093474,0.4809642106294625,0.0,0.0754658423415171,0.243894338607788,False
std_s74,standard,1,74,1,hmc,2,Alt2,Alt2,0.9379621148109436,0.1283942908048629,0.7120511636137963,1.2114566713571544,0.7564767186805279,1.712524598330166,0.1814853961304157,True
std_s74,standard,1,74,1,hmc,2,Alt3,Alt1,-0.0174250863492488,0.1339903324842453,-0.2803854346275329,0.2452530592679976,0.0,0.1239155700103823,0.0174250863492488,True
std_s74,standard,1,74,1,hmc,2,Alt3,Alt2,-0.122707299888134,0.1056232675909996,-0.3259800881147384,0.0866677010431884,0.0,0.1192929289611891,0.122707299888134,True
