dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,functional,Rhat,ESS_bulk,ESS_tail,ESS_bulk/s,ESS_tail/s
std_s14,standard,1,14,1,nuts,2,Alt2,q05,1.000003040930476,9379.739521317397,13157.22282677128,15.494225880564604,21.734183766574624
std_s14,standard,1,14,1,nuts,2,Alt2,q50,1.0000860327891736,10246.072205856686,12726.671331761934,16.92530552530962,21.022963364160653
std_s14,standard,1,14,1,nuts,2,Alt2,q95,1.0001167153712225,6948.29979593058,11876.841816020768,11.477773586287032,19.61914501217564
std_s14,standard,1,14,1,nuts,2,Alt3,mean,1.0004374596959864,8582.696630526072,12252.174717339349,14.17760482106162,20.2391507959419
std_s14,standard,1,14,1,nuts,2,Alt3,sd,1.0002565197841111,6203.1902586122,10283.299651047391,10.246940315199298,16.98680088383533
std_s14,standard,1,14,1,nuts,2,Alt3,q05,0.9999318209227852,7650.377706196277,12126.897518273889,12.637523673449753,20.032207605718632
std_s14,standard,1,14,1,nuts,2,Alt3,q50,1.0004374590567968,8582.696794100246,12252.174717339349,14.177605091266903,20.2391507959419
std_s14,standard,1,14,1,nuts,2,Alt3,q95,1.0007482898986368,6160.821464819296,11407.572700179033,10.176952053817164,18.84396765643992
std_s14,standard,1,14,1,nuts,2,Price,mean,1.0003115092206285,14878.5992209611,13219.97610762101,24.57769499803608,21.837844801726234
std_s14,standard,1,14,1,nuts,2,Price,sd,1.000137746091576,13460.601652026857,14807.737910385917,22.23532988424741,24.46064045193173
std_s14,standard,1,14,1,nuts,2,Price,q05,1.0000398957148582,12512.231994096292,15485.14246558838,20.668734813578958,25.579633060092803
std_s14,standard,1,14,1,nuts,2,Price,q50,1.0003114993962503,14878.601665826109,13219.97610762101,24.57769903666536,21.837844801726234
std_s14,standard,1,14,1,nuts,2,Price,q95,1.0001694323129118,15277.225338240733,16204.933173918676,25.236178433422094,26.768642605214456
std_s15,standard,1,15,1,nuts,2,Alt1,mean,1.0004501897279885,7623.445658206566,10504.790229597033,19.966072123530893,27.51241482792162
std_s15,standard,1,15,1,nuts,2,Alt1,sd,1.0001670376825635,4875.899098265539,9511.361043111709,12.770151113785394,24.910588872012223
std_s15,standard,1,15,1,nuts,2,Alt1,q05,1.0001689995416263,4830.789439559389,8874.911851127414,12.65200733214444,23.243706068638136
std_s15,standard,1,15,1,nuts,2,Alt1,q50,1.000450204400476,7623.444336942981,10504.790229597033,19.966068663095125,27.51241482792162
std_s15,standard,1,15,1,nuts,2,Alt1,q95,1.0003383319353232,7085.080301615113,12925.928336743898,18.556074332447523,33.85346062737389
std_s15,standard,1,15,1,nuts,2,Alt2,mean,1.000006577926765,4823.902103320717,9196.64473980654,12.63396915646304,24.08633581217993
std_s15,standard,1,15,1,nuts,2,Alt2,sd,1.0011439659022807,2969.843722681524,6056.326327085786,7.778125092141648,15.861731515074606
std_s15,standard,1,15,1,nuts,2,Alt2,q05,1.0004937548107686,3112.463320005897,5853.63754176829,8.151650830249588,15.330882462333795
std_s15,standard,1,15,1,nuts,2,Alt2,q50,1.0000065717430606,4823.900511541148,9196.64473980654,12.6339649875364,24.08633581217993
std_s15,standard,1,15,1,nuts,2,Alt2,q95,1.0003487403939089,3870.296292136967,8316.951225210412,10.136442020158627,21.78238757846737
std_s15,standard,1,15,1,nuts,2,Alt3,mean,1.0001466262473964,8839.631691849361,12035.67977558192,23.151306091481224,31.521868355722383
std_s15,standard,1,15,1,nuts,2,Alt3,sd,1.0000747657349072,5814.397670285856,10049.653157236897,15.228111859739816,26.32039483850216
std_s15,standard,1,15,1,nuts,2,Alt3,q05,1.0001813875719996,6911.5380931342,11622.108323109627,18.101561188869624,30.438710185714807
std_s15,standard,1,15,1,nuts,2,Alt3,q50,1.0001466268002663,8839.632001255677,12035.67977558192,23.15130690182724,31.521868355722383
std_s15,standard,1,15,1,nuts,2,Alt3,q95,1.0000128286901573,6196.60429403414,11366.993580154398,16.22912444092541,29.77055570728196
std_s15,standard,1,15,1,nuts,2,Price,mean,1.0003779370493429,12240.99476800996,13258.456120355422,32.0595955371902,34.72436258015668
std_s15,standard,1,15,1,nuts,2,Price,sd,1.0000845968350611,9939.7578793318,13780.400604273002,26.03257524312975,36.09135352855535
std_s15,standard,1,15,1,nuts,2,Price,q05,1.0001687911845596,10189.058445595709,13810.432607116163,26.68550218845453,36.17000839954996
std_s15,standard,1,15,1,nuts,2,Price,q50,1.0003779395868204,12240.994353516351,13258.456120355422,32.05959445161687,34.72436258015668
std_s15,standard,1,15,1,nuts,2,Price,q95,0.9999654034046612,11257.50305403656,15262.737152077312,29.48379617106637,39.97364504760702
std_s16,standard,1,16,1,nuts,2,Alt1,mean,0.9999955223898128,8868.677154348414,11350.297904161804,14.387160187447746,18.412955086809216
std_s16,standard,1,16,1,nuts,2,Alt1,sd,0.9999437093653384,7087.710738424339,10784.82824708424,11.497997726301996,17.495625208189477
std_s16,standard,1,16,1,nuts,2,Alt1,q05,0.9999964630384388,8990.412214068796,13539.726445804044,14.58464418355498,21.96474286748543
std_s16,standard,1,16,1,nuts,2,Alt1,q50,0.9999955137504222,8868.671407956117,11350.297904161804,14.3871508653961,18.412955086809216
std_s16,standard,1,16,1,nuts,2,Alt1,q95,1.0002481808299215,6696.808928073875,11631.908396671515,10.863859526748984,18.86979607850286
