dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
std_s51,standard,1,51,1,hmc,2,beta_i,kernel_03,0,0.0,0.8938249945640564,,,,,
std_s52,standard,1,52,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9052552580833436,,,,,
std_s52,standard,1,52,1,hmc,2,mu,kernel_01,0,0.0,0.9379939436912536,,,,,
std_s52,standard,1,52,1,hmc,2,Delta,kernel_02,0,0.0,0.9112724661827089,,,,,
std_s52,standard,1,52,1,hmc,2,beta_i,kernel_03,0,0.0,0.885759174823761,,,,,
std_s53,standard,1,53,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9134460687637328,,,,,
std_s53,standard,1,53,1,hmc,2,mu,kernel_01,0,0.0,0.9306849837303162,,,,,
std_s53,standard,1,53,1,hmc,2,Delta,kernel_02,0,0.0,0.917141616344452,,,,,
std_s53,standard,1,53,1,hmc,2,beta_i,kernel_03,0,0.0,0.8933100700378418,,,,,
std_s54,standard,1,54,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9208407998085022,,,,,
std_s54,standard,1,54,1,hmc,2,mu,kernel_01,0,0.0,0.9320499897003174,,,,,
std_s54,standard,1,54,1,hmc,2,Delta,kernel_02,0,0.0,0.9056015610694884,,,,,
std_s54,standard,1,54,1,hmc,2,beta_i,kernel_03,0,0.0,0.9021905064582824,,,,,
std_s55,standard,1,55,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9113645553588868,,,,,
std_s55,standard,1,55,1,hmc,2,mu,kernel_01,0,0.0,0.9199458956718444,,,,,
std_s55,standard,1,55,1,hmc,2,Delta,kernel_02,0,0.0,0.9286403059959412,,,,,
std_s55,standard,1,55,1,hmc,2,beta_i,kernel_03,0,0.0,0.887744128704071,,,,,
std_s56,standard,1,56,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9256749749183656,,,,,
std_s56,standard,1,56,1,hmc,2,mu,kernel_01,0,0.0,0.9413208961486816,,,,,
std_s56,standard,1,56,1,hmc,2,Delta,kernel_02,0,0.0,0.914615035057068,,,,,
std_s56,standard,1,56,1,hmc,2,beta_i,kernel_03,0,0.0,0.8972635865211487,,,,,
std_s57,standard,1,57,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9259548783302308,,,,,
std_s57,standard,1,57,1,hmc,2,mu,kernel_01,0,0.0,0.9386812448501588,,,,,
std_s57,standard,1,57,1,hmc,2,Delta,kernel_02,0,0.0,0.9070189595222472,,,,,
std_s57,standard,1,57,1,hmc,2,beta_i,kernel_03,0,0.0,0.8938074111938477,,,,,
std_s58,standard,1,58,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.928368866443634,,,,,
std_s58,standard,1,58,1,hmc,2,mu,kernel_01,0,0.0,0.9266250729560852,,,,,
std_s58,standard,1,58,1,hmc,2,Delta,kernel_02,0,0.0,0.9036877751350404,,,,,
std_s58,standard,1,58,1,hmc,2,beta_i,kernel_03,0,0.0,0.8892542719841003,,,,,
std_s59,standard,1,59,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9084062576293944,,,,,
std_s59,standard,1,59,1,hmc,2,mu,kernel_01,0,0.0,0.92154198884964,,,,,
std_s59,standard,1,59,1,hmc,2,Delta,kernel_02,0,0.0,0.906724214553833,,,,,
std_s59,standard,1,59,1,hmc,2,beta_i,kernel_03,0,0.0,0.9062599539756776,,,,,
std_s60,standard,1,60,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9171457886695862,,,,,
std_s60,standard,1,60,1,hmc,2,mu,kernel_01,0,0.0,0.9250292181968688,,,,,
std_s60,standard,1,60,1,hmc,2,Delta,kernel_02,0,0.0,0.8991639614105225,,,,,
std_s60,standard,1,60,1,hmc,2,beta_i,kernel_03,0,0.0,0.8993256092071533,,,,,
std_s61,standard,1,61,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9253035187721252,,,,,
std_s61,standard,1,61,1,hmc,2,mu,kernel_01,0,0.0,0.9347691535949708,,,,,
std_s61,standard,1,61,1,hmc,2,Delta,kernel_02,0,0.0,0.921653926372528,,,,,
std_s61,standard,1,61,1,hmc,2,beta_i,kernel_03,0,0.0,0.9035891890525818,,,,,
std_s62,standard,1,62,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9106538891792296,,,,,
std_s62,standard,1,62,1,hmc,2,mu,kernel_01,0,0.0,0.9247618913650512,,,,,
std_s62,standard,1,62,1,hmc,2,Delta,kernel_02,0,0.0,0.922670304775238,,,,,
std_s62,standard,1,62,1,hmc,2,beta_i,kernel_03,0,0.0,0.8877061605453491,,,,,
std_s63,standard,1,63,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9177613258361816,,,,,
std_s63,standard,1,63,1,hmc,2,mu,kernel_01,0,0.0,0.9187871813774108,,,,,
std_s63,standard,1,63,1,hmc,2,Delta,kernel_02,0,0.0,0.91605544090271,,,,,
std_s63,standard,1,63,1,hmc,2,beta_i,kernel_03,0,0.0,0.8981994390487671,,,,,
std_s64,standard,1,64,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9195128679275512,,,,,
std_s64,standard,1,64,1,hmc,2,mu,kernel_01,0,0.0,0.9351465106010436,,,,,
