k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
5,Mean,Alt3,bayesm,3.343,76.306,328.652,666.734,0.44,50
5,Mean,Alt3,bayesm_gibbs,4.007,114.287,352.543,865.093,0.46,50
5,Mean,Alt3,nuts,3.077,8.786,351.058,1458.737,0.48,50
5,Mean,Alt3,hmc,2.816,9.112,30.541,258.572,0.2,50
5,Mean,Price,bayesm,13.263,233.377,753.556,1427.791,0.64,50
5,Mean,Price,bayesm_gibbs,10.253,280.122,1010.903,1703.218,0.7,50
5,Mean,Price,nuts,3.029,35.945,457.197,2471.851,0.52,50
5,Mean,Price,hmc,3.057,11.17,76.374,477.491,0.26,50
5,Var,Alt1,bayesm,3.495,25.7,164.274,306.27,0.2,50
5,Var,Alt1,bayesm_gibbs,4.39,33.666,111.599,344.149,0.18,50
5,Var,Alt1,nuts,2.742,8.345,99.726,328.6,0.22,50
5,Var,Alt1,hmc,2.562,6.91,41.722,162.698,0.08,50
5,Var,Alt2,bayesm,3.026,37.219,188.077,385.188,0.24,50
5,Var,Alt2,bayesm_gibbs,3.341,37.347,164.639,398.809,0.26,50
5,Var,Alt2,nuts,3.093,9.989,41.747,352.601,0.24,50
5,Var,Alt2,hmc,3.541,11.08,24.421,72.371,0.12,50
5,Var,Alt3,bayesm,3.156,55.183,110.324,330.891,0.2,50
5,Var,Alt3,bayesm_gibbs,3.445,44.77,126.079,283.769,0.22,50
5,Var,Alt3,nuts,3.113,6.551,67.307,557.157,0.3,50
5,Var,Alt3,hmc,2.831,14.14,50.506,210.93,0.18,50
5,Var,Price,bayesm,4.412,91.359,192.97,311.03,0.2,50
5,Var,Price,bayesm_gibbs,3.698,65.095,269.772,393.164,0.24,50
5,Var,Price,nuts,3.056,20.899,246.256,980.311,0.46,50
5,Var,Price,hmc,3.763,12.088,47.518,126.107,0.08,50
