k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
3,Alt2,NUTS,JSD,0.00315,0.00882,0.02488,0.01589,0.02842,0.17216,100.0
3,Alt2,HMC,JSD,0.00228,0.00908,0.02327,0.01468,0.02608,0.19753,100.0
3,Alt2,bayesm,TVD,0.02746,0.0691,0.10781,0.09659,0.12825,0.33646,100.0
3,Alt2,Replication,TVD,0.0281,0.07086,0.10734,0.09639,0.12884,0.27099,100.0
3,Alt2,NUTS,TVD,0.03359,0.08006,0.1228,0.1036,0.14918,0.33438,100.0
3,Alt2,HMC,TVD,0.02487,0.08129,0.1205,0.10758,0.15018,0.39535,100.0
3,Alt3,bayesm,Hellinger,0.06389,0.09351,0.14211,0.11626,0.16076,0.44423,100.0
3,Alt3,Replication,Hellinger,0.06174,0.0951,0.14492,0.11394,0.1722,0.44921,100.0
3,Alt3,NUTS,Hellinger,0.06481,0.09329,0.15582,0.11888,0.18779,0.48809,100.0
3,Alt3,HMC,Hellinger,0.06149,0.09204,0.15346,0.1185,0.19221,0.43716,100.0
3,Alt3,bayesm,KL,0.73914,,inf,inf,,inf,100.0
3,Alt3,Replication,KL,inf,,inf,inf,,inf,100.0
3,Alt3,NUTS,KL,0.28562,,inf,inf,,inf,100.0
3,Alt3,HMC,KL,0.53287,,inf,inf,,inf,100.0
3,Alt3,bayesm,JSD,0.00345,0.00762,0.02237,0.01236,0.02286,0.15418,100.0
3,Alt3,Replication,JSD,0.00322,0.00774,0.02359,0.01196,0.02585,0.16177,100.0
3,Alt3,NUTS,JSD,0.00368,0.00788,0.02788,0.0125,0.03136,0.18712,100.0
3,Alt3,HMC,JSD,0.00325,0.00758,0.02709,0.01262,0.03184,0.15523,100.0
3,Alt3,bayesm,TVD,0.03301,0.07072,0.11468,0.09594,0.13011,0.34283,100.0
3,Alt3,Replication,TVD,0.03357,0.07437,0.1172,0.09449,0.13711,0.427,100.0
3,Alt3,NUTS,TVD,0.01748,0.07368,0.12806,0.10306,0.15823,0.42349,100.0
3,Alt3,HMC,TVD,0.0279,0.06968,0.12827,0.10082,0.1548,0.4304,100.0
3,Price,bayesm,Hellinger,0.04354,0.07867,0.09836,0.093,0.11373,0.19785,100.0
3,Price,Replication,Hellinger,0.04685,0.07687,0.09846,0.09313,0.12007,0.20251,100.0
3,Price,NUTS,Hellinger,0.05327,0.08005,0.10875,0.09579,0.12751,0.32389,100.0
3,Price,HMC,Hellinger,0.04354,0.08024,0.10317,0.09589,0.11833,0.23501,100.0
3,Price,bayesm,KL,0.36936,,inf,inf,,inf,100.0
3,Price,Replication,KL,inf,,inf,inf,,inf,100.0
3,Price,NUTS,KL,0.2776,,inf,inf,,inf,100.0
3,Price,HMC,KL,0.43682,,inf,inf,,inf,100.0
3,Price,bayesm,JSD,0.00155,0.00528,0.00939,0.00778,0.01194,0.0353,100.0
3,Price,Replication,JSD,0.00185,0.00504,0.00947,0.00759,0.01285,0.03693,100.0
3,Price,NUTS,JSD,0.00233,0.00579,0.01224,0.0084,0.01468,0.0849,100.0
3,Price,HMC,JSD,0.00165,0.00572,0.01068,0.00838,0.01317,0.04876,100.0
3,Price,bayesm,TVD,0.02881,0.0585,0.07946,0.07851,0.09538,0.1791,100.0
3,Price,Replication,TVD,0.0314,0.05884,0.08041,0.07865,0.09859,0.18087,100.0
3,Price,NUTS,TVD,0.03016,0.06315,0.0872,0.08326,0.09877,0.28643,100.0
3,Price,HMC,TVD,0.02896,0.06139,0.08526,0.08105,0.10281,0.20332,100.0
5,Alt1,bayesm,Hellinger,0.03955,0.09418,0.14789,0.12324,0.18319,0.35573,100.0
5,Alt1,Replication,Hellinger,0.03768,0.09294,0.14835,0.12734,0.20184,0.36003,100.0
5,Alt1,NUTS,Hellinger,0.05658,0.12293,0.1851,0.17416,0.22798,0.38887,100.0
5,Alt1,HMC,Hellinger,0.06058,0.11315,0.18711,0.17407,0.22361,0.39607,100.0
5,Alt1,bayesm,KL,0.01438,,inf,inf,,inf,100.0
5,Alt1,Replication,KL,0.00862,,inf,inf,,inf,100.0
5,Alt1,NUTS,KL,0.07046,0.45916,inf,inf,,inf,100.0
5,Alt1,HMC,KL,0.07209,0.7733,inf,inf,,inf,100.0
5,Alt1,bayesm,JSD,0.00155,0.00829,0.02408,0.01332,0.03162,0.09847,100.0
5,Alt1,Replication,JSD,0.00138,0.00755,0.02426,0.01493,0.03526,0.10252,100.0
5,Alt1,NUTS,JSD,0.00274,0.014,0.035,0.02778,0.04386,0.11763,100.0
5,Alt1,HMC,JSD,0.00325,0.01193,0.03578,0.02708,0.04496,0.12333,100.0
5,Alt1,bayesm,TVD,0.03233,0.07808,0.1193,0.10766,0.161,0.25614,100.0
5,Alt1,Replication,TVD,0.03998,0.07589,0.12024,0.1094,0.16059,0.2414,100.0
5,Alt1,NUTS,TVD,0.03823,0.09469,0.14508,0.13671,0.18789,0.31656,100.0
5,Alt1,HMC,TVD,0.03084,0.09016,0.1476,0.14454,0.19604,0.33722,100.0
5,Alt2,bayesm,Hellinger,0.03945,0.09027,0.14088,0.12382,0.17843,0.37334,100.0
5,Alt2,Replication,Hellinger,0.03602,0.08765,0.13662,0.12805,0.17124,0.35143,100.0
5,Alt2,NUTS,Hellinger,0.04552,0.10754,0.17067,0.15865,0.21556,0.43116,100.0
5,Alt2,HMC,Hellinger,0.04792,0.11811,0.17192,0.158,0.22237,0.39535,100.0
5,Alt2,bayesm,KL,0.00782,,inf,inf,,inf,100.0
5,Alt2,Replication,KL,0.00524,,inf,inf,,inf,100.0
5,Alt2,NUTS,KL,0.01704,0.69562,inf,inf,,inf,100.0
5,Alt2,HMC,KL,0.03779,,inf,inf,,inf,100.0
5,Alt2,bayesm,JSD,0.00144,0.00736,0.02164,0.01446,0.0288,0.10828,100.0
5,Alt2,Replication,JSD,0.00129,0.0069,0.02026,0.01527,0.02609,0.0993,100.0
5,Alt2,NUTS,JSD,0.00169,0.01043,0.03003,0.02354,0.04169,0.14284,100.0
5,Alt2,HMC,JSD,0.00206,0.01207,0.03017,0.02292,0.04452,0.12184,100.0
5,Alt2,bayesm,TVD,0.02518,0.0771,0.11683,0.11228,0.14875,0.25288,100.0
5,Alt2,Replication,TVD,0.02302,0.0776,0.11332,0.10988,0.1422,0.25525,100.0
5,Alt2,NUTS,TVD,0.02643,0.08494,0.13762,0.13662,0.18212,0.31571,100.0
5,Alt2,HMC,TVD,0.02792,0.0961,0.14338,0.132,0.18928,0.28935,100.0
5,Alt3,bayesm,Hellinger,0.03881,0.09222,0.14138,0.12515,0.15969,0.40573,100.0
5,Alt3,Replication,Hellinger,0.04414,0.09374,0.14353,0.12066,0.15974,0.39416,100.0
5,Alt3,NUTS,Hellinger,0.04821,0.10743,0.16807,0.14899,0.19721,0.43721,100.0
5,Alt3,HMC,Hellinger,0.05514,0.11265,0.17461,0.15134,0.2061,0.40347,100.0
5,Alt3,bayesm,KL,0.00799,,inf,inf,,inf,100.0
5,Alt3,Replication,KL,0.01419,,inf,inf,,inf,100.0
5,Alt3,NUTS,KL,0.03744,,inf,inf,,inf,100.0
5,Alt3,HMC,KL,0.04447,,inf,inf,,inf,100.0
5,Alt3,bayesm,JSD,0.0015,0.00813,0.02181,0.01442,0.02238,0.13547,100.0
5,Alt3,Replication,JSD,0.0019,0.00829,0.02275,0.01356,0.0226,0.12818,100.0
5,Alt3,NUTS,JSD,0.00215,0.01093,0.03024,0.01995,0.03512,0.15344,100.0
5,Alt3,HMC,JSD,0.00263,0.01174,0.03208,0.02066,0.03663,0.13399,100.0
5,Alt3,bayesm,TVD,0.04518,0.07787,0.12055,0.10998,0.14291,0.30205,100.0
5,Alt3,Replication,TVD,0.04473,0.0802,0.12198,0.10638,0.14531,0.29273,100.0
5,Alt3,NUTS,TVD,0.04116,0.09293,0.14027,0.12266,0.17093,0.3748,100.0
5,Alt3,HMC,TVD,0.04002,0.09888,0.14727,0.13698,0.17684,0.36569,100.0
5,Price,bayesm,Hellinger,0.04035,0.06829,0.09235,0.08588,0.10697,0.1967,100.0
5,Price,Replication,Hellinger,0.02158,0.07154,0.09123,0.08775,0.10583,0.20185,100.0
5,Price,NUTS,Hellinger,0.03702,0.08453,0.11108,0.09899,0.13472,0.22847,100.0
5,Price,HMC,Hellinger,0.04587,0.08736,0.11513,0.10465,0.13548,0.24473,100.0
5,Price,bayesm,KL,0.00888,,inf,inf,,inf,100.0
5,Price,Replication,KL,0.00942,,inf,inf,,inf,100.0
5,Price,NUTS,KL,0.00549,,inf,inf,,inf,100.0
5,Price,HMC,KL,0.14247,,inf,inf,,inf,100.0
5,Price,bayesm,JSD,0.00142,0.00455,0.00915,0.00691,0.01107,0.03595,100.0
5,Price,Replication,JSD,0.00043,0.0046,0.00885,0.00738,0.01062,0.0374,100.0
5,Price,NUTS,JSD,0.00137,0.00656,0.01309,0.00914,0.01687,0.04574,100.0
5,Price,HMC,JSD,0.00176,0.00687,0.01387,0.01008,0.01721,0.05448,100.0
5,Price,bayesm,TVD,0.0251,0.05925,0.08179,0.07698,0.10058,0.17634,100.0
5,Price,Replication,TVD,0.01394,0.05704,0.08057,0.08022,0.09651,0.17823,100.0
5,Price,NUTS,TVD,0.02379,0.06613,0.09449,0.08696,0.11486,0.20517,100.0
5,Price,HMC,TVD,0.0243,0.07048,0.09939,0.09274,0.12527,0.22103,100.0
