dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt5_s12,5comp_equal,5,12,5,nuts,1,2,0.2197749465703964,0.0240694396197795,0.1742739722132683,0.2690330848097801,0.2,True
kt5_s12,5comp_equal,5,12,5,nuts,1,3,0.2063308358192443,0.0235231090337038,0.1619336888194084,0.2545925371348858,0.2,True
kt5_s12,5comp_equal,5,12,5,nuts,1,4,0.0111234271898865,0.02140280790627,0.0001048262351105,0.0798474252223968,0.2,False
kt5_s13,5comp_equal,5,13,5,nuts,1,0,0.3893497586250305,0.0597606040537357,0.2612643979489803,0.4770393207669258,0.2,False
kt5_s13,5comp_equal,5,13,5,nuts,1,1,0.2039874345064163,0.0237908530980348,0.159468112885952,0.2524674117565155,0.2,True
kt5_s13,5comp_equal,5,13,5,nuts,1,2,0.1915059983730316,0.0229435246437788,0.1482454776763916,0.2378773882985115,0.2,True
kt5_s13,5comp_equal,5,13,5,nuts,1,3,0.1744031757116317,0.0225386321544647,0.1315492708235979,0.22028772495687,0.2,True
kt5_s13,5comp_equal,5,13,5,nuts,1,4,0.04075363650918,0.0535914599895477,0.0001516648833785,0.1620159897953271,0.2,False
kt5_s14,5comp_equal,5,14,5,nuts,1,0,0.3673802614212036,0.0290744472295045,0.3101862400770187,0.4245244808495044,0.2,False
kt5_s14,5comp_equal,5,14,5,nuts,1,1,0.2513867318630218,0.0255491789430379,0.2023594472557306,0.3041931346058845,0.2,False
kt5_s14,5comp_equal,5,14,5,nuts,1,2,0.1896243691444397,0.0231412257999181,0.1462674051523208,0.2369591053575277,0.2,True
kt5_s14,5comp_equal,5,14,5,nuts,1,3,0.183938518166542,0.0220105480402708,0.1426003959029912,0.2288860816508531,0.2,True
kt5_s14,5comp_equal,5,14,5,nuts,1,4,0.0076700979843735,0.008942007087171,0.0001751472023897,0.0317156356759369,0.2,False
kt5_s15,5comp_equal,5,15,5,nuts,1,0,0.3853573203086853,0.0315351635217666,0.3220965139567852,0.4462400533258914,0.2,False
kt5_s15,5comp_equal,5,15,5,nuts,1,1,0.2190124094486236,0.0274490024894475,0.1652288075536489,0.2718787752091884,0.2,True
kt5_s15,5comp_equal,5,15,5,nuts,1,2,0.2149501889944076,0.029926348477602,0.1595437761396169,0.2772403538227081,0.2,True
kt5_s15,5comp_equal,5,15,5,nuts,1,3,0.1741992086172104,0.0289729926735162,0.1204945795238018,0.2335847541689872,0.2,True
kt5_s15,5comp_equal,5,15,5,nuts,1,4,0.0064808633178472,0.0106637738645076,0.0001903413016407,0.0280756815336644,0.2,False
kt5_s16,5comp_equal,5,16,5,nuts,1,0,0.3437418341636657,0.0897226855158805,0.154552012309432,0.4418352134525776,0.2,True
kt5_s16,5comp_equal,5,16,5,nuts,1,1,0.2575009167194366,0.08915726095438,0.1695549964904785,0.4557912088930607,0.2,True
kt5_s16,5comp_equal,5,16,5,nuts,1,2,0.1972678452730178,0.0232801437377929,0.1536034807562828,0.244640190154314,0.2,True
kt5_s16,5comp_equal,5,16,5,nuts,1,3,0.1962186694145202,0.0231462009251117,0.1524815868586301,0.242882103472948,0.2,True
kt5_s16,5comp_equal,5,16,5,nuts,1,4,0.005270701367408,0.0092632416635751,9.99763116851682e-05,0.0312839336693286,0.2,False
kt5_s17,5comp_equal,5,17,5,nuts,1,0,0.3999823331832886,0.0304561704397201,0.3399623803794384,0.4596330851316452,0.2,False
kt5_s17,5comp_equal,5,17,5,nuts,1,1,0.3943575322628021,0.0311585385352373,0.334121024608612,0.4569114349782466,0.2,False
kt5_s17,5comp_equal,5,17,5,nuts,1,2,0.1974503099918365,0.0234830603003501,0.154017636552453,0.2457988657057285,0.2,True
kt5_s17,5comp_equal,5,17,5,nuts,1,3,0.0044400682672858,0.0056261313147842,0.0001039098977344,0.0202481882181018,0.2,False
kt5_s17,5comp_equal,5,17,5,nuts,1,4,0.0037697250954806,0.0037504793144762,8.305095943796915e-05,0.0135241892188787,0.2,False
kt5_s18,5comp_equal,5,18,5,nuts,1,0,0.363363116979599,0.0279345102608203,0.3097550094127655,0.418821943551302,0.2,False
kt5_s18,5comp_equal,5,18,5,nuts,1,1,0.2240578383207321,0.0240929741412401,0.1783802937716245,0.2736456111073493,0.2,True
kt5_s18,5comp_equal,5,18,5,nuts,1,2,0.2123965620994568,0.0238270666450262,0.1679665591567754,0.2616873264312744,0.2,True
kt5_s18,5comp_equal,5,18,5,nuts,1,3,0.1958289891481399,0.0230175554752349,0.1523545831441879,0.2422673638910055,0.2,True
kt5_s18,5comp_equal,5,18,5,nuts,1,4,0.0043534925207495,0.0058730416931211,0.000120565789075,0.016419016662985,0.2,False
kt5_s19,5comp_equal,5,19,5,nuts,1,0,0.229882538318634,0.0246021188795566,0.1842352870851755,0.2789460718631744,0.2,True
kt5_s19,5comp_equal,5,19,5,nuts,1,1,0.2117413133382797,0.0242429189383983,0.1662956088781357,0.2609991900622844,0.2,True
kt5_s19,5comp_equal,5,19,5,nuts,1,2,0.1989307403564453,0.0238590035587549,0.155032043904066,0.2482823126018047,0.2,True
kt5_s19,5comp_equal,5,19,5,nuts,1,3,0.1805178225040435,0.0223092101514339,0.1396905072033405,0.2266961108893156,0.2,True
kt5_s19,5comp_equal,5,19,5,nuts,1,4,0.1789275705814361,0.0229207463562488,0.1353314593434333,0.2266049426048994,0.2,True
kt5_s20,5comp_equal,5,20,5,nuts,1,0,0.2448616176843643,0.0258258208632469,0.1960071768611669,0.2959714889526367,0.2,True
kt5_s20,5comp_equal,5,20,5,nuts,1,1,0.2156660407781601,0.0232502948492765,0.1716623589396476,0.262251703441143,0.2,True
kt5_s20,5comp_equal,5,20,5,nuts,1,2,0.2110539972782135,0.0236025601625442,0.1664854742586612,0.2588773354887962,0.2,True
kt5_s20,5comp_equal,5,20,5,nuts,1,3,0.1900767087936401,0.0238865930587053,0.1453501004725694,0.2387439545243978,0.2,True
kt5_s20,5comp_equal,5,20,5,nuts,1,4,0.1383416205644607,0.0200258418917655,0.1023666989058256,0.1807946499437093,0.2,False
kt5_s21,5comp_equal,5,21,5,nuts,1,0,0.3533912003040313,0.0281584747135639,0.2992231301963329,0.4091911092400551,0.2,False
kt5_s21,5comp_equal,5,21,5,nuts,1,1,0.2309744656085968,0.0259595233947038,0.1817703738808632,0.2825274959206581,0.2,True
kt5_s21,5comp_equal,5,21,5,nuts,1,2,0.2262219041585922,0.0235616639256477,0.1815044574439525,0.2749503090977668,0.2,True
