dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s43,1comp,1,43,5,nuts,2,Alt3,0.02718,0.00432,0.00068,0.01219,0.02932
kt1_s43,1comp,1,43,5,nuts,2,Price,0.01892,0.00178,0.00034,0.01331,0.03662
kt1_s44,1comp,1,44,5,nuts,2,Alt1,0.13085,0.09786,0.01616,0.11816,0.18268
kt1_s44,1comp,1,44,5,nuts,2,Alt2,0.12745,0.10937,0.01496,0.10342,0.31402
kt1_s44,1comp,1,44,5,nuts,2,Alt3,0.06075,0.01674,0.00362,0.06284,0.17479
kt1_s44,1comp,1,44,5,nuts,2,Price,0.03154,0.00496,0.00096,0.02373,0.04984
kt1_s45,1comp,1,45,5,nuts,2,Alt1,0.04718,0.01135,0.00214,0.03993,0.07964
kt1_s45,1comp,1,45,5,nuts,2,Alt2,0.08812,0.03989,0.00748,0.07978,0.17643
kt1_s45,1comp,1,45,5,nuts,2,Alt3,0.05565,0.01239,0.00307,0.05941,0.12348
kt1_s45,1comp,1,45,5,nuts,2,Price,0.02125,0.00233,0.00043,0.01566,0.02924
kt1_s46,1comp,1,46,5,nuts,2,Alt1,0.08388,0.03506,0.00681,0.07539,0.12872
kt1_s46,1comp,1,46,5,nuts,2,Alt2,0.14995,0.12402,0.02128,0.14211,0.32963
kt1_s46,1comp,1,46,5,nuts,2,Alt3,0.07733,0.03108,0.00575,0.06792,0.10567
kt1_s46,1comp,1,46,5,nuts,2,Price,0.07836,0.03073,0.00594,0.07134,0.13137
kt1_s47,1comp,1,47,5,nuts,2,Alt1,0.06102,0.01647,0.00365,0.06549,0.16392
kt1_s47,1comp,1,47,5,nuts,2,Alt2,0.04479,0.01054,0.00191,0.03624,0.11045
kt1_s47,1comp,1,47,5,nuts,2,Alt3,0.05356,0.01372,0.00278,0.05301,0.15939
kt1_s47,1comp,1,47,5,nuts,2,Price,0.1329,0.06553,0.01735,0.14117,0.32306
kt1_s48,1comp,1,48,5,nuts,2,Alt1,0.05166,0.01139,0.00262,0.05195,0.11342
kt1_s48,1comp,1,48,5,nuts,2,Alt2,0.12014,0.08662,0.01355,0.10372,0.21008
kt1_s48,1comp,1,48,5,nuts,2,Alt3,0.03606,0.00571,0.00127,0.03794,0.05043
kt1_s48,1comp,1,48,5,nuts,2,Price,0.03163,0.00618,0.00092,0.01573,0.0437
kt1_s49,1comp,1,49,5,nuts,2,Alt1,0.0449,0.00841,0.002,0.04945,0.15752
kt1_s49,1comp,1,49,5,nuts,2,Alt2,0.05278,0.01268,0.00273,0.05356,0.13279
kt1_s49,1comp,1,49,5,nuts,2,Alt3,0.03201,0.00524,0.00098,0.02738,0.0901
kt1_s49,1comp,1,49,5,nuts,2,Price,0.10078,0.05827,0.00961,0.08627,0.19918
kt1_s50,1comp,1,50,5,nuts,2,Alt1,0.09275,0.04822,0.00819,0.08012,0.15461
kt1_s50,1comp,1,50,5,nuts,2,Alt2,0.08525,0.04086,0.00691,0.07197,0.15319
kt1_s50,1comp,1,50,5,nuts,2,Alt3,0.05942,0.02306,0.00326,0.03832,0.12258
kt1_s50,1comp,1,50,5,nuts,2,Price,0.09465,0.04399,0.00868,0.08853,0.21302
kt1_s51,1comp,1,51,5,nuts,2,Alt1,0.04108,0.01014,0.00157,0.02704,0.08094
kt1_s51,1comp,1,51,5,nuts,2,Alt2,0.0504,0.01215,0.00247,0.04436,0.1279
kt1_s51,1comp,1,51,5,nuts,2,Alt3,0.04488,0.00796,0.002,0.04638,0.1027
kt1_s51,1comp,1,51,5,nuts,2,Price,0.05612,0.01256,0.00312,0.05771,0.11401
kt1_s52,1comp,1,52,5,nuts,2,Alt1,0.05973,0.02213,0.00328,0.03519,0.10774
kt1_s52,1comp,1,52,5,nuts,2,Alt2,0.22878,0.36189,0.04773,0.22446,0.56745
kt1_s52,1comp,1,52,5,nuts,2,Alt3,0.02181,0.00273,0.00044,0.00634,0.01515
kt1_s52,1comp,1,52,5,nuts,2,Price,0.06084,0.01858,0.00357,0.05033,0.09818
kt1_s53,1comp,1,53,5,nuts,2,Alt1,0.53838,4.0367,0.24197,0.57142,2.92811
kt1_s53,1comp,1,53,5,nuts,2,Alt2,0.02885,0.0048,0.00078,0.01771,0.04287
kt1_s53,1comp,1,53,5,nuts,2,Alt3,0.09444,0.03977,0.00876,0.10211,0.24249
kt1_s53,1comp,1,53,5,nuts,2,Price,0.07549,0.02823,0.0055,0.07269,0.1975
kt1_s54,1comp,1,54,5,nuts,2,Alt1,0.08578,0.04823,0.00687,0.07344,0.26754
kt1_s54,1comp,1,54,5,nuts,2,Alt2,0.08839,0.09011,0.00633,0.03923,0.13919
kt1_s54,1comp,1,54,5,nuts,2,Alt3,0.14145,0.25463,0.01671,0.09257,0.36629
kt1_s54,1comp,1,54,5,nuts,2,Price,0.11739,0.10146,0.01214,0.08511,0.28281
kt1_s55,1comp,1,55,5,nuts,2,Alt1,0.34301,1.31719,0.10031,0.3294,1.26857
kt1_s55,1comp,1,55,5,nuts,2,Alt2,0.45688,4.05889,0.17085,0.4539,2.14039
kt1_s55,1comp,1,55,5,nuts,2,Alt3,0.30817,1.18241,0.08053,0.28518,1.11739
kt1_s55,1comp,1,55,5,nuts,2,Price,0.16983,0.1575,0.02734,0.17129,0.39818
kt1_s56,1comp,1,56,5,nuts,2,Alt1,0.06097,0.01624,0.00367,0.06406,0.1642
kt1_s56,1comp,1,56,5,nuts,2,Alt2,0.11048,0.05479,0.012,0.11841,0.32276
kt1_s56,1comp,1,56,5,nuts,2,Alt3,0.12226,0.0778,0.01432,0.11494,0.1914
kt1_s56,1comp,1,56,5,nuts,2,Price,0.03734,0.00635,0.00136,0.03627,0.12441
kt1_s57,1comp,1,57,5,nuts,2,Alt1,0.04876,0.01079,0.00234,0.04813,0.10422
kt1_s57,1comp,1,57,5,nuts,2,Alt2,0.02951,0.00525,0.00081,0.01528,0.03193
kt1_s57,1comp,1,57,5,nuts,2,Alt3,0.0346,0.00517,0.00118,0.03488,0.05384
kt1_s57,1comp,1,57,5,nuts,2,Price,0.05676,0.01643,0.00311,0.03931,0.12355
kt1_s58,1comp,1,58,5,nuts,2,Alt1,0.10073,0.09696,0.00838,0.0404,0.12167
kt1_s58,1comp,1,58,5,nuts,2,Alt2,0.11546,0.08265,0.01238,0.09691,0.15144
kt1_s58,1comp,1,58,5,nuts,2,Alt3,0.04296,0.01025,0.00174,0.03199,0.09204
kt1_s58,1comp,1,58,5,nuts,2,Price,0.03862,0.00699,0.00145,0.03657,0.10245
kt1_s59,1comp,1,59,5,nuts,2,Alt1,0.23111,0.33067,0.05021,0.24084,0.8294
kt1_s59,1comp,1,59,5,nuts,2,Alt2,0.21608,0.23139,0.04486,0.23395,0.79516
kt1_s59,1comp,1,59,5,nuts,2,Alt3,0.24883,0.27776,0.05951,0.27433,0.84319
kt1_s59,1comp,1,59,5,nuts,2,Price,0.03175,0.00519,0.00096,0.02325,0.05796
kt1_s60,1comp,1,60,5,nuts,2,Alt1,0.10081,0.03929,0.01009,0.11344,0.34073
kt1_s60,1comp,1,60,5,nuts,2,Alt2,0.07422,0.02819,0.00531,0.06743,0.15123
kt1_s60,1comp,1,60,5,nuts,2,Alt3,0.17639,0.13043,0.03046,0.19534,0.46983
kt1_s60,1comp,1,60,5,nuts,2,Price,0.02328,0.00273,0.00052,0.01832,0.03564
kt1_s61,1comp,1,61,5,nuts,2,Alt1,0.05586,0.01377,0.00308,0.05896,0.14644
kt1_s61,1comp,1,61,5,nuts,2,Alt2,0.05376,0.01169,0.00287,0.05825,0.17795
kt1_s61,1comp,1,61,5,nuts,2,Alt3,0.05069,0.01007,0.00256,0.05329,0.09115
kt1_s61,1comp,1,61,5,nuts,2,Price,0.04233,0.01107,0.00167,0.02645,0.05574
kt1_s62,1comp,1,62,5,nuts,2,Alt1,0.13341,0.09176,0.01706,0.12834,0.29957
kt1_s62,1comp,1,62,5,nuts,2,Alt2,0.1702,0.15937,0.02744,0.16886,0.42929
kt1_s62,1comp,1,62,5,nuts,2,Alt3,0.04548,0.01392,0.00189,0.02565,0.05579
kt1_s62,1comp,1,62,5,nuts,2,Price,0.11191,0.06389,0.01205,0.10683,0.29028
kt1_s63,1comp,1,63,5,nuts,2,Alt1,0.04879,0.01041,0.00235,0.04881,0.10509
kt1_s63,1comp,1,63,5,nuts,2,Alt2,0.07095,0.02391,0.00491,0.06734,0.17948
kt1_s63,1comp,1,63,5,nuts,2,Alt3,0.05911,0.02136,0.00327,0.03995,0.12023
kt1_s63,1comp,1,63,5,nuts,2,Price,0.04732,0.01068,0.00218,0.04073,0.06852
kt1_s64,1comp,1,64,5,nuts,2,Alt1,0.44508,2.01478,0.17076,0.4685,1.73009
kt1_s64,1comp,1,64,5,nuts,2,Alt2,0.17806,0.21154,0.02938,0.16928,0.34924
