dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s19,1comp,1,19,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,555,0.0555,7.0,5.0249,0.0,127.0,34.0031,0.8462680578231812
kt1_s19,1comp,1,19,5,nuts,1,mu_k,kernel_02,533,0.0533,10.0,9.1512,0.5879,1023.0,752.0722,0.8063123822212219
kt1_s19,1comp,1,19,5,nuts,1,Delta,kernel_03,0,0.0,5.0,3.1822,0.0,31.0,8.6042,0.9121242165565492
kt1_s19,1comp,1,19,5,nuts,1,beta_i,kernel_04,1799,0.1799,10.0,6.7396,0.0005,1023.0,113.0383,0.3995260596275329
kt1_s20,1comp,1,20,5,nuts,1,pvec_latent,kernel_00,1,0.0001,6.0,2.9878,0.0,63.0,7.4433,0.9363167881965636
kt1_s20,1comp,1,20,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,512,0.0512,5.0,3.8847,0.0,31.0,14.1161,0.8056079745292664
kt1_s20,1comp,1,20,5,nuts,1,mu_k,kernel_02,106,0.0106,10.0,6.5576,0.003,1023.0,127.8394,0.7820919156074524
kt1_s20,1comp,1,20,5,nuts,1,Delta,kernel_03,0,0.0,3.0,2.8735,0.0,7.0,6.494,0.8979363441467285
kt1_s20,1comp,1,20,5,nuts,1,beta_i,kernel_04,2,0.0002,5.0,5.0,0.0,31.0,30.9998,0.8498867154121399
kt1_s21,1comp,1,21,5,nuts,1,pvec_latent,kernel_00,33,0.0033,6.0,3.4389,0.0,47.0,10.8692,0.9301462769508362
kt1_s21,1comp,1,21,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,35,0.0035,5.0,4.9179,0.0,31.0,29.7045,0.893032431602478
kt1_s21,1comp,1,21,5,nuts,1,mu_k,kernel_02,3511,0.3511,10.0,4.2797,0.0001,575.0,34.3158,0.4814741611480713
kt1_s21,1comp,1,21,5,nuts,1,Delta,kernel_03,1,0.0001,7.0,4.3139,0.0,79.0,20.355,0.9378588795661926
kt1_s21,1comp,1,21,5,nuts,1,beta_i,kernel_04,0,0.0,7.0,6.013,0.0,127.0,63.832,0.9307767748832704
kt1_s22,1comp,1,22,5,nuts,1,pvec_latent,kernel_00,0,0.0,7.0,4.1798,0.0,127.0,19.795,0.9494211077690125
kt1_s22,1comp,1,22,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,557,0.0557,6.0,4.6493,0.0,63.0,25.8932,0.7826039791107178
kt1_s22,1comp,1,22,5,nuts,1,mu_k,kernel_02,653,0.0653,10.0,7.1827,0.0788,1023.0,242.7006,0.7885808348655701
kt1_s22,1comp,1,22,5,nuts,1,Delta,kernel_03,0,0.0,7.0,3.6954,0.0,79.0,12.7264,0.9369404315948486
kt1_s22,1comp,1,22,5,nuts,1,beta_i,kernel_04,0,0.0,10.0,6.9956,0.0009,1023.0,127.8512,0.9107259511947632
kt1_s23,1comp,1,23,5,nuts,1,pvec_latent,kernel_00,2,0.0002,6.0,2.8937,0.0,47.0,6.8966,0.914066195487976
kt1_s23,1comp,1,23,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,504,0.0504,5.0,3.903,0.0,31.0,14.2609,0.7589895725250244
kt1_s23,1comp,1,23,5,nuts,1,mu_k,kernel_02,653,0.0653,10.0,5.9066,0.0029,1023.0,93.7547,0.5921575427055359
kt1_s23,1comp,1,23,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.0247,0.0,39.0,7.3548,0.9256742000579834
kt1_s23,1comp,1,23,5,nuts,1,beta_i,kernel_04,0,0.0,8.0,7.0003,0.0,255.0,127.0384,0.9507689476013184
kt1_s24,1comp,1,24,5,nuts,1,pvec_latent,kernel_00,50,0.005,6.0,3.4836,0.0,47.0,11.245,0.93185293674469
kt1_s24,1comp,1,24,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,30,0.003,6.0,4.4823,0.0,47.0,22.7222,0.8931057453155518
kt1_s24,1comp,1,24,5,nuts,1,mu_k,kernel_02,6706,0.6706,8.0,2.3925,0.0,223.0,8.2117,0.2183071970939636
kt1_s24,1comp,1,24,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.0141,0.0,55.0,7.2716,0.9149121046066284
kt1_s24,1comp,1,24,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,4.9997,0.0,63.0,30.9984,0.8772425055503845
kt1_s25,1comp,1,25,5,nuts,1,pvec_latent,kernel_00,20,0.002,7.0,3.018,0.0,71.0,7.6334,0.9360035061836244
kt1_s25,1comp,1,25,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,364,0.0364,7.0,3.9512,0.0,79.0,14.773,0.8503433465957642
kt1_s25,1comp,1,25,5,nuts,1,mu_k,kernel_02,49,0.0049,10.0,4.7381,0.0003,1023.0,31.194,0.7968310713768005
kt1_s25,1comp,1,25,5,nuts,1,Delta,kernel_03,0,0.0,5.0,2.7538,0.0,23.0,6.0378,0.8525439500808716
kt1_s25,1comp,1,25,5,nuts,1,beta_i,kernel_04,0,0.0,7.0,4.9891,0.0,95.0,30.8288,0.844288170337677
kt1_s26,1comp,1,26,5,nuts,1,pvec_latent,kernel_00,38,0.0038,6.0,3.298,0.0,63.0,9.7474,0.90484881401062
kt1_s26,1comp,1,26,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,299,0.0299,5.0,3.9472,0.0,17.0,14.5961,0.8491849899291992
kt1_s26,1comp,1,26,5,nuts,1,mu_k,kernel_02,3838,0.3838,8.0,3.3233,0.0,175.0,15.8521,0.4978682994842529
kt1_s26,1comp,1,26,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.9023,0.0,15.0,6.6098,0.9019061326980592
