dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,kind,n_pts,min_ESS,mean_ESS,max_Rhat,mean_Rhat,ESS,Rhat
kt1_s12,1comp,1,12,5,nuts,2,Alt1,moment_Var,,,,,,358.42241942743345,1.0026434657921377
kt1_s12,1comp,1,12,5,nuts,2,Alt2,moment_Mean,,,,,,1716.2866893014786,1.0026822711408665
kt1_s12,1comp,1,12,5,nuts,2,Alt2,moment_Var,,,,,,836.4175159969135,1.0050236044690792
kt1_s12,1comp,1,12,5,nuts,2,Alt3,moment_Mean,,,,,,3950.578393629392,1.0010913535895567
kt1_s12,1comp,1,12,5,nuts,2,Alt3,moment_Var,,,,,,1716.284896294166,1.001028813218865
kt1_s12,1comp,1,12,5,nuts,2,Price,moment_Mean,,,,,,89.85477905869683,1.025967543861612
kt1_s12,1comp,1,12,5,nuts,2,Price,moment_Var,,,,,,608.1632663108243,1.0108368480786405
kt1_s13,1comp,1,13,5,nuts,2,Alt1,density,25.0,1306.170111538769,2797.3897894988377,1.00549555684622,1.0014283812896747,,
kt1_s13,1comp,1,13,5,nuts,2,Alt2,density,25.0,177.13843281420338,895.5970568885075,1.0095490387312194,1.0045172870435883,,
kt1_s13,1comp,1,13,5,nuts,2,Alt3,density,24.0,1753.6204581108768,2507.59164796235,1.0048579157527442,1.001814431042933,,
kt1_s13,1comp,1,13,5,nuts,2,Price,density,26.0,1313.2644765453144,4935.486045859333,1.004964762953879,1.001779913429891,,
kt1_s13,1comp,1,13,5,nuts,2,Alt1,moment_Mean,,,,,,2853.7129462318635,1.001797520199741
kt1_s13,1comp,1,13,5,nuts,2,Alt1,moment_Var,,,,,,642.9174078508115,1.0042187875475412
kt1_s13,1comp,1,13,5,nuts,2,Alt2,moment_Mean,,,,,,2472.065691342045,1.002529011382309
kt1_s13,1comp,1,13,5,nuts,2,Alt2,moment_Var,,,,,,497.9035797130375,1.0030421855238951
kt1_s13,1comp,1,13,5,nuts,2,Alt3,moment_Mean,,,,,,3591.314934067774,1.003516164082686
kt1_s13,1comp,1,13,5,nuts,2,Alt3,moment_Var,,,,,,187.61821545890115,1.0089016149649903
kt1_s13,1comp,1,13,5,nuts,2,Price,moment_Mean,,,,,,402.6690378235608,1.004517786536923
kt1_s13,1comp,1,13,5,nuts,2,Price,moment_Var,,,,,,421.86674845118864,1.0051594285127332
kt1_s14,1comp,1,14,5,nuts,2,Alt1,density,20.0,7.037439803091528,41.2935338241145,1.2051362027770331,1.1050332841854222,,
