dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt3_s47,3comp_equal,3,47,5,nuts,2,1,2.0,True,Alt2,1.214402437210083,0.1443483680486679,0.946428295969963,1.5056613385677338,0.9964632756784346,0.2179391615316483,True
kt3_s47,3comp_equal,3,47,5,nuts,2,1,2.0,True,Alt3,-10.581467628479004,1.4883406162261963,-14.415371775627136,-8.419277834892275,-8.314178503267136,2.2672891252118674,False
kt3_s47,3comp_equal,3,47,5,nuts,2,1,2.0,True,Price,-2.533336639404297,0.1207875534892082,-2.7768365263938906,-2.302572333812713,-2.505791176691832,0.0275454627124647,True
kt3_s47,3comp_equal,3,47,5,nuts,2,2,1.0,True,Alt1,1.704309582710266,0.1640457063913345,1.3807882368564606,2.0310443878173827,1.7084949221930197,0.0041853394827535,True
kt3_s47,3comp_equal,3,47,5,nuts,2,2,1.0,True,Alt2,-2.615204334259033,0.2067728340625763,-3.037688684463501,-2.223878073692324,-2.2822865110960224,0.3329178231630108,True
kt3_s47,3comp_equal,3,47,5,nuts,2,2,1.0,True,Alt3,-4.687714099884033,0.2983486950397491,-5.323816299438477,-4.156557011604309,-4.059110004511315,0.6286040953727179,False
kt3_s47,3comp_equal,3,47,5,nuts,2,2,1.0,True,Price,2.285473346710205,0.1552658379077911,1.9819663792848587,2.596775418519974,1.9964545495797563,0.2890187971304485,True
kt3_s47,3comp_equal,3,47,5,nuts,2,3,,False,Alt1,36.36973190307617,80.93853759765625,-70.49671115875243,256.3109855651854,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,3,,False,Alt2,-9.137772560119627,40.08857345581055,-83.91543292999268,56.03697605133053,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,3,,False,Alt3,-1.460943341255188,26.687089920043945,-51.36999425888062,51.73092269897461,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,3,,False,Price,-1.6508228778839111,20.901691436767575,-39.185224533081055,34.91049890518185,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,4,,False,Alt1,2.7778661251068115,84.74752044677734,-92.78878173828124,106.0284652709961,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,4,,False,Alt2,-1.3274277448654177,63.50042343139648,-77.48839378356934,82.3844072341919,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,4,,False,Alt3,-1.8522273302078247,30.95718765258789,-60.254209995269775,54.75732479095458,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,4,,False,Price,-1.4380755424499512,24.22296524047852,-46.60968227386474,44.48976535797119,,,
