comparison,metric,k_true,param,n_datasets,n_win,n_loss,n_tie,win_rate,median_diff,p_value
nuts_vs_bayesm,TVD,5,Alt2,100,13,87,0,0.13,0.0202,1.312981552203585e-14
nuts_vs_bayesm,TVD,5,Alt3,100,19,81,0,0.19,0.018575,2.7027625220487884e-10
nuts_vs_bayesm,TVD,5,Price,100,21,78,1,0.2121,0.010995,6.88231823830183e-09
hmc_vs_bayesm,TVD,1,Alt1,100,51,49,0,0.51,-0.000725,0.9204107626128216
hmc_vs_bayesm,TVD,1,Alt2,100,36,64,0,0.36,0.004715,0.006637120515926128
hmc_vs_bayesm,TVD,1,Alt3,100,45,55,0,0.45,0.00137,0.3682016173266958
hmc_vs_bayesm,TVD,1,Price,100,51,49,0,0.51,-0.000105,0.9204107626128216
hmc_vs_bayesm,TVD,2,Alt1,100,21,79,0,0.21,0.014735,4.3373666334216375e-09
hmc_vs_bayesm,TVD,2,Alt2,100,24,76,0,0.24,0.008135,1.8100026213029253e-07
hmc_vs_bayesm,TVD,2,Alt3,100,39,61,0,0.39,0.004115,0.03520020021770486
hmc_vs_bayesm,TVD,2,Price,100,41,59,0,0.41,0.00226,0.08862608011406765
hmc_vs_bayesm,TVD,3,Alt1,100,14,86,0,0.14,0.0266,8.284451872080075e-14
hmc_vs_bayesm,TVD,3,Alt2,100,21,79,0,0.21,0.01466,4.3373666334216375e-09
hmc_vs_bayesm,TVD,3,Alt3,100,27,73,0,0.27,0.006665,4.69241261264223e-06
hmc_vs_bayesm,TVD,3,Price,100,26,74,0,0.26,0.007515,1.6673626494501009e-06
hmc_vs_bayesm,TVD,5,Alt1,100,19,81,0,0.19,0.032765,2.7027625220487884e-10
hmc_vs_bayesm,TVD,5,Alt2,100,18,82,0,0.18,0.01649,6.147806615047975e-11
hmc_vs_bayesm,TVD,5,Alt3,100,22,78,0,0.22,0.017085,1.5905328473786136e-08
hmc_vs_bayesm,TVD,5,Price,100,19,81,0,0.19,0.0144,2.7027625220487884e-10
nuts_vs_hmc,TVD,1,Alt1,100,51,49,0,0.51,-8.5e-05,0.9204107626128216
nuts_vs_hmc,TVD,1,Alt2,100,53,46,1,0.5354,-0.00033,0.5467134835988141
nuts_vs_hmc,TVD,1,Alt3,100,43,57,0,0.43,0.00039,0.19334790449564213
nuts_vs_hmc,TVD,1,Price,100,40,60,0,0.4,0.00131,0.05688793364098079
nuts_vs_hmc,TVD,2,Alt1,100,52,48,0,0.52,-0.000245,0.7643534344026676
nuts_vs_hmc,TVD,2,Alt2,100,53,47,0,0.53,-0.000395,0.6172994135892524
nuts_vs_hmc,TVD,2,Alt3,100,54,46,0,0.54,-0.000875,0.48411841360729146
nuts_vs_hmc,TVD,2,Price,100,54,46,0,0.54,-0.00088,0.48411841360729146
